taxon_id,Name,Common name,Latitude,Longitude
24902,Phrynomantis somalicus,Somali Rubber Frog,-3.0739,39.3188
70582,Cycloramphus organensis,Cycloramphus organensis,,
517199,Pithecopus centralis,Mato Grosso Leaf Frog,,
517267,Pristimantis allpapuyu,Pristimantis allpapuyu,,
517275,Pristimantis pichincha,Pristimantis pichincha,0.23517,-78.01609
70705,Leptobrachium mangyanorum,Leptobrachium mangyanorum,12.787778,120.916111
135010,Adenomera ajurauna,Neblina Tropical Bullfrog,,
1145879,Oedipina ecuatoriana,Oedipina ecuatoriana,,
1135193,Atelopus moropukaqumir,Atelopus moropukaqumir,,
1135191,Adenomera guarayo,Guarayo Nest-building Terrestrial Frog,,
120728,Atelopus marinkellei,Boyaca's Painted Harlequin Toad,,
65940,Leptobrachium ngoclinhense,Leptobrachium ngoclinhense,15.0833,107.95
476918,Phrynopus chaparroi,Phrynopus chaparroi,,
23386,Hyperolius acuticephalus,Ngoto Reed Frog,,
462080,Tepuihyla warreni,Warren's Tree Frog,5.060861,-60.613806
1176910,Kaloula meridionalis,Kaloula meridionalis,9.0462,125.7177
1176913,Craugastor sagui,Craugastor sagui,8.5,-81.77
1176914,Craugastor blairi,Craugastor blairi,8.67,-82.22
1176931,Peltophryne dunni,Central Cuban Long-Nosed Toad,21.91361,-80.02194
476896,Choerophryne gracilirostris,Choerophryne gracilirostris,,
1176949,Dendrophryniscus jureia,Dendrophryniscus jureia,-24.700278,-47.549722
1176950,Dendrophryniscus izecksohni,Dendrophryniscus izecksohni,,
476381,Cornufer manus,Cornufer manus,-2.02944,147.27806
1099540,Nymphargus colomai,Nymphargus colomai,-4.25044,-78.61356
476386,Odorrana cangyuanensis,Odorrana cangyuanensis,,
476964,Kalophrynus cryptophonus,Kalophrynus cryptophonus,,
554845,Nyctibatrachus robinmoorei,Nyctibatrachus robinmoorei,,
923277,Amolops mengdingensis,Amolops mengdingensis,,
517403,Sarcohyla sabrina,Sierra Juarez Tree Frog,17.6,-96.39
517343,Ranoidea napaea,Snow Mountains Tree Frog,-3.145,136.574
1176930,Peltophryne ramsdeni,Peltophryne ramsdeni,20.2833,-75.15
1176937,Nidirana xiangica,Nidirana xiangica,,
1176945,Sclerophrys chevalieri,Sclerophrys chevalieri,,
1176948,Dendrophryniscus lauroi,Dendrophryniscus lauroi,,
1176953,Dendrophryniscus davori,Dendrophryniscus davori,,
27354,Oedipina altura,Cartago Worm Salamander,9.73333,-83.95729
66619,Pristimantis coronatus,Pristimantis coronatus,-4.493324,-79.15328
66929,Pristimantis vilcabambae,Pristimantis vilcabambae,,
70644,Hyalinobatrachium orocostale,Hyalinobatrachium orocostale,9.9,-67.51667
1286241,Wijayarana modiglianii,Modigliani's Torrent Frog,,
1286247,Pristimantis chocolatebari,Pristimantis chocolatebari,,
717635,Limnonectes coffeatus,Limnonectes coffeatus,15.0652,106.2139
65472,Frostius erythrophthalmus,Frostius erythrophthalmus,,
1312862,Brachycephalus puri,Brachycephalus puri,,
923385,Stumpffia mamitika,Stumpffia mamitika,,
923415,Callulops taxispilotus,Callulops taxispilotus,-6.8102542,144.8776511
464501,Guibemantis tasifotsy,Guibemantis tasifotsy,,
1312854,Litoria becki,Beck's Tree Frog,-6.0149712,145.0521895
476913,Chimerella corleone,Cainarachi Glass Frog,,
70442,Amolops nidorbellus,Amolops nidorbellus,,
717686,Vietnamophryne orlovi,Vietnamophryne orlovi,,
787642,Adelophryne michelin,Adelophryne michelin,,
70739,Mannophryne orellana,Orellana's Collared Frog,10.302076,-68.634712
70835,Polypedates assamensis,Polypedates assamensis,27.206396,95.443893
476905,Oreophryne curator,Oreophryne curator,,
476597,Brachycephalus auroguttatus,Pedra da Tartaruga Flea Toad,,
476711,Leptopelis mtoewaate,Kabembe Treefrog,-3.97285,29.6078
1312853,Litoria bulmeri,Bulmer's Tree Frog,,
476915,Hyalinobatrachium anachoretus,Hyalinobatrachium anachoretus,-5.75,-77.658333
70931,Rhinatrema shiv,Shiv's Caecilian,5.133333,-59.416667
67111,Rhinella fissipes,Carabaya Toad,,
142657,Melanophryniscus peritus,Melanophryniscus peritus,,
555071,Boulengerula spawlsi,Ngaia Forest Caecilian,0.3667,38.0333
1099550,Leptobrachella suiyangensis,Leptobrachella suiyangensis,,
476367,Cornufer browni,Cornufer browni,-4.453,152.938
476309,Cornufer latro,Cornufer latro,-2.032667,147.434167
66025,Litoria biakensis,Litoria biakensis,,
555052,Phrynopus dumicola,Phrynopus dumicola,,
555053,Phrynopus personatus,Phrynopus personatus,,
923255,Rhinatrema nigrum,Black Caecilian,5.141667,-60.587639
555056,Pristimantis boucephalus,Bigheaded Rubber Frog,,
517301,Sclerophrys langanoensis,Sclerophrys langanoensis,9.133333,39.966667
555178,Sphaenorhynchus cammaeus,Pedra Talhada Hatchet-faced Tree Frog,,
555171,Dendropsophus vraemi,Vraem's Tree Frog,-12.92967,-73.533967
464508,Hyperolius friedemanni,Friedemann's Long Reed Frog,-11.37,34.17
555174,Phyllodytes megatympanum,Boa União Heart-tongued Frog,,
555036,Brachycephalus darkside,Darkside Pumpkin Toadlet,,
555042,Rhinella lilyrodriguezae,Rhinella lilyrodriguezae,-6.390594,-76.384845
555044,Sigalegalephrynus minangkabauensis,Sigalegalephrynus minangkabauensis,,
555046,Bryophryne phuyuhampatu,Bryophryne phuyuhampatu,-13.37,-71.11
555047,Lynchius oblitus,Lynchius oblitus,,
787613,Nyctimystes hunti,Nyctimystes hunti,,
65197,Cophixalus humicola,Cophixalus humicola,,
555207,Chiasmocleis migueli,Chiasmocleis migueli,,
555208,Chiasmocleis veracruz,Chiasmocleis veracruz,,
555209,Choerophryne bisyllaba,Choerophryne bisyllaba,,
555210,Choerophryne crucifer,Choerophryne crucifer,,
555215,Oreophryne banshee,Oreophryne banshee,,
555223,Paedophryne titan,Paedophryne titan,-10.05739,151.07088
555224,Rhombophryne diadema,Rhombophryne diadema,,
555225,Rhombophryne nilevina,Rhombophryne nilevina,-21.243867,47.426217
555226,Rhombophryne regalis,Rhombophryne regalis,,
555232,Sphenophryne magnitympanum,Sphenophryne magnitympanum,-9.44555,148.009083
555233,Sphenophryne miniafia,Sphenophryne miniafia,-9.19,149.16
476821,Hynobius amakusaensis,Amakusa Salamander,,
717474,Leptobrachella tengchongensis,Leptobrachella tengchongensis,22.455,107.048
717473,Leptobrachella tamdil,Leptobrachella tamdil,22.455,107.048
70862,Pristimantis royi,Pristimantis royi,,
717527,Minervarya sengupti,Minervarya sengupti,,
517212,Ichthyophis cardamomensis,Cardamom Mountain Caecilian,10.6758,104.0534
1250381,Brachytarsophrys chuannanensis,Brachytarsophrys chuannanensis,,
66935,Pristimantis wiensi,Pristimantis wiensi,-5.365278,-79.566111
517042,Indirana sarojamma,Sarojamma's Leaping Frog,8.74,77.14
70695,Incilius karenlipsae,Incilius karenlipsae,,
717587,Leptobrachella yingjiangensis,Leptobrachella yingjiangensis,22.455,107.048
1281773,Allobates sieggreenae,Allobates sieggreenae,,
1281774,Rhinella moralesi,Rhinella moralesi,,
1281783,Physalaemus araxa,Physalaemus araxa,-20.421778,-41.8025
134830,Tomopterna elegans,Tomopterna elegans,10.730167,50.589
1250440,Xenophrys periosa,Xenophrys periosa,18.547392,98.513685
66817,Pristimantis polemistes,Pristimantis polemistes,,
517251,Pristimantis urani,Pristimantis urani,,
66732,Pristimantis lucasi,Pristimantis lucasi,,
66783,Pristimantis ortizi,Pristimantis ortizi,-1.36391,-78.36441
66885,Pristimantis stictogaster,Pristimantis stictogaster,-11.21,-74.96
199779,Pristimantis ameliae,Pristimantis ameliae,8.945278,-70.43166
1048803,Pristimantis pictus,Pristimantis pictus,,
1048802,Pristimantis pluvian,Pristimantis pluvian,,
66546,Pristimantis amydrotus,Pristimantis amydrotus,,
66562,Pristimantis avicuporum,Pristimantis avicuporum,,
464520,Hyperolius jacobseni,Jacobsen's Long Reed Frog,5.08,20.67
464522,Hyperolius lupiroensis,Luprio Long Reed Frog,-8.42,36.69
66684,Pristimantis hamiotae,Nono Robber Frog,-0.0059,-78.66163
554757,Pristimantis humboldti,Humboldt’s Rubber Frog,-11.36,-74.94
66726,Pristimantis lichenoides,Pristimantis lichenoides,5.50446,-75.1784
134417,Pristimantis loujosti,Pristimantis loujosti,,
66827,Pristimantis pulvinatus,Danto Robber Frog,6.08333,-61.83333
66863,Pristimantis scitulus,Pristimantis scitulus,,
66883,Pristimantis sternothylax,Huancabamba Robber Frog,-4.038186,-79.19021
134797,Pristimantis stipa,Pristimantis stipa,,
70868,Pristimantis turik,Pristimantis turik,,
66563,Pristimantis avius,Pristimantis avius,1.216667,-64.7
517222,Xenopus kobeli,Xenopus kobeli,5.04151,10.69848
