Unobserved Bird,Latitude,Longitude,taxon_id,Common name
Turnix worcesteri,16.131674,120.93396,20886,Luzon Buttonquail
Rhizothera longirostris,4.397206,102.402176,979939,Long-billed Partridge
Capito fitzpatricki,-10.42,-74.15,201079,Sira Barbet
Lonchura monticola,-9.133645,147.78537,13903,Alpine Munia
Lonchura nigerrima,-2.544345,150.45468,13904,New Hanover Munia
Ptilinopus arcanus,10.4167,123.1333,2844,Negros Fruit Dove
Tachyspiza luteoschistacea,-5.642636,150.58891,1583028,Slaty-mantled Goshawk
Melopyrrha grandis,17.369617,-62.79959,1289356,Saint Kitts Bullfinch
Melanocharis citreola,-4.01,133.09,1289507,Satin Berrypecker
Mionectes roraimae,5.99614,-61.39385,1289533,Sierra de Lema Flycatcher
Scytalopus krabbei,-9.737314,-76.16984,1289544,White-winged Tapaculo
Grallaria ayacuchensis,-13.185058,-73.52483,1289554,Ayacucho Antpitta
Vini palmarum,-13.82464,167.56093,1289568,Palm Lorikeet
Hydrobates cheimomnestes,28.905697,-118.28853,1289620,Ainley's Storm-Petrel
Sarothrura lugens,-12.45,31.28333,344,Chestnut-headed Flufftail
Ploceus nigrimentus,-4.27094,15.281285,73258,Black-chinned Weaver
Aerodramus orientalis,-9.826564,160.85022,144620,Mayr's Swiftlet
Myrmelastes saturatus,5.97,-61.425,558495,Roraiman Antbird
Ploceus badius,9.783333,26.916667,13800,Cinnamon Weaver
Gallirallus woodfordi,-9.483402,159.98758,792874,Woodford's Rail
Pternistis camerunensis,4.140739,9.195896,495933,Mount Cameroon Spurfowl
Kleinothraupis reyi,8.653273,-71.1651,558554,Gray-capped Hemispingus
Myrmelastes brunneiceps,-12.898807,-71.39658,558498,Brownish-headed Antbird
Phyllastrephus lorenzi,0.824804,30.161644,144897,Sassi's Greenbul
Yungipicus ramsayi,5.017461,119.744705,792948,Sulu Pygmy Woodpecker
Aplonis zelandica,-11.6719,166.9552,14951,Rusty-winged Starling
Estrilda nigriloris,-3.42919,39.80312,13771,Black-lored Waxbill
Napothera naungmungensis,27.48,97.82,979815,Naung Mung Scimitar-Babbler
Campylorhamphus probatus,-9.064734,-56.59727,1507406,Tapajos Scythebill
Ninox variegata,-4.209338,152.70154,20146,New Ireland Boobook
Melignomon zenkeri,1.573036,10.852518,17595,Zenker's Honeyguide
Synallaxis beverlyae,5.278699,-67.84821,73468,Río Orinoco Spinetail
Coracina ingens,-2.05764,147.30464,201105,Manus Cuckooshrike
Grallaria chthonia,7.6185,-72.26025,116760,Táchira Antpitta
Myzomela batjanensis,-1.370674,127.72482,1506946,Bacan Myzomela
Turdoides chapini,-3.7,28.16667,339824,Chapin's Mountain-Babbler
Myzomela longirostris,-9.47075,150.79437,1506954,Long-billed Myzomela
Diglossa duidae,4.717436,-64.56699,9837,Scaled Flowerpiercer
Melidectes foersteri,-6.351345,146.94348,12482,Huon Melidectes
Pseudobulweria macgillivrayi,-18.190279,179.2439,73301,Fiji Petrel
Rhipidura semirubra,-2.0559,147.7427,8139,Manus Fantail
Caprimulgus prigoginei,-3.433209,28.954794,19517,Itombwe Nightjar
Pampusana sanctaecrucis,-15.206864,167.16261,1505920,Santa Cruz Ground Dove
Pyrgilauda theresae,34.846676,67.37496,1269296,Afghan Snowfinch
Micromacronus leytensis,11.859407,125.21081,15684,Leyte Plumed-Warbler
Apalis kaboboensis,-5.225544,29.120657,979609,Kabobo Apalis
Paradisaea guilielmi,-6.09272,147.1981,8180,Emperor Bird-of-Paradise
Grallaria eludens,-4.192268,-70.61259,116894,Elusive Antpitta
Grallaria excelsa,9.7044,-69.5736,117200,Great Antpitta
Pachycephala vanikorensis,-11.275988,166.48929,827394,Vanikoro Whistler
Cisticola melanurus,-11.2607,27.105637,7668,Slender-tailed Cisticola
Scytalopus meridanus,8.662421,-71.17809,14760,Mérida Tapaculo
Amblyornis flavifrons,-2.576083,138.722417,14527,Golden-fronted Bowerbird
Cisticola restrictus,-2.166667,40.166667,7696,Tana River Cisticola
Ptiloprora plumbea,-5.7631,145.19746,12555,Leaden Honeyeater
Philemon brassi,-3.037,136.375,12343,Brass's Friarbird
Zoothera margaretae,-10.821632,162.22762,13029,Makira Thrush
Ceyx mulcatus,-4.389999,153.08507,513988,New Ireland Dwarf Kingfisher
Zosterops hypoxanthus,-5.9581,150.5264,17501,Black-headed White-eye
Zosterops luteirostris,-8.721873,157.44351,17479,Splendid White-eye
Zosterops nehrkorni,3.500843,125.544257,73576,Sangihe White-eye
Zosterornis latistriatus,11.402293,122.16998,144978,Panay Striped-Babbler
Glaucidium albertinum,-2.459632,29.092716,72888,Albertine Owlet
Sarothrura ayresi,9.073996,38.503906,347,White-winged Flufftail
Glaucidium mooreorum,-8.731966,-35.174062,19805,Pernambuco Pygmy-Owl
Cranioleuca henricae,-17.16719,-66.67109,11262,Bolivian Spinetail
Ninox meeki,-2.070397,147.23972,20153,Manus Boobook
Pachycephala implicata,-9.45846,160.04222,7932,Hooded Whistler
Otus capnodes,-12.298656,44.451492,20253,Anjouan Scops-Owl
Edolisoma salomonis,-10.821632,162.22762,201128,Makira Cicadabird
Myzomela pulchella,-3.189355,151.79462,12385,New Ireland Myzomela
Passer cordofanicus,13.8275,21.0152,73151,Kordofan Rufous Sparrow
Atlapetes terborghi,-12.967199,-73.340009,72551,Vilcabamba Brushfinch
Otus umbra,2.557827,96.215126,20280,Simeulue Scops-Owl
Vauriella insignis,16.701456,120.88467,145050,Rusty-flanked Jungle-Flycatcher
Stilpnia phillipsi,-9.425641,-74.73507,979965,Sira Tanager
Thripophaga amacurensis,9.058533,-62.050354,339660,Delta Amacuro Softtail
Ducula oenothorax,-5.375263,102.319085,1423418,Enggano Imperial Pigeon
Cistothorus meridae,8.653133,-71.18359,7599,Mérida Wren
Apalis lynesi,-15.389794,37.050392,94235,Namuli Apalis
Gymnophaps solomonensis,-8.032757,157.11653,3672,Pale Mountain-Pigeon
Melionyx princeps,-5.788816,145.03232,1506079,Long-bearded Honeyeater
Rhabdornis grandis,14.63248,121.53856,15710,Long-billed Rhabdornis
Acrocephalus rimitarae,-22.650654,-152.80936,144929,Rimitara Reed Warbler
Petrochelidon perdita,7.713605,38.813228,144801,Red Sea Swallow
Mixornis prillwitzi,-6.873228,115.29368,1440297,Kangean Tit-Babbler
Clytorhynchus sanctaecrucis,-11.60708,166.98885,98010,Santa Cruz Shrikebill
Cincloramphus whitneyi,-15.3554,166.7462,980136,Santo Thicketbird
Cincloramphus rubiginosus,-5.8813,150.5233,980137,Rusty Thicketbird
Geokichla camaronensis,0.560008,30.357285,201197,Black-eared Ground-Thrush
Geokichla joiceyi,-3.271905,129.002957,201207,Seram Thrush
Turdus haplochrous,-14.223714,-64.99346,12774,Unicolored Thrush
Gallicolumba platenae,13.398972,120.363464,3133,Mindoro Bleeding-heart
Zoothera atrigena,-5.952322,155.039,367674,Bougainville Thrush
Herpsilochmus parkeri,-5.674825,-77.70393,15779,Ash-throated Antwren
Cyornis nicobaricus,6.984217,93.85069,145038,Nicobar Jungle Flycatcher
Cyornis ruckii,4.059593,98.128085,12859,Rück's Blue Flycatcher
Cinnyris prigoginei,-7.50437,30.087069,145160,Prigogine's Sunbird
Dicaeum nitidum,-11.116518,153.08472,13411,Louisiade Flowerpecker
Arcanator orostruthus,-8.239691,36.031475,145015,Dapple-throat
Columba argentina,2.471311,96.248122,3014,Silvery Wood-Pigeon
Loriculus tener,-4.506972,152.15208,18972,Green-fronted Hanging-Parrot
Dicaeum quadricolor,10.440269,123.81068,13402,Cebu Flowerpecker
Sheppardia lowei,-8.239691,36.031475,13228,Iringa Akalat
Prioniturus verticalis,5.106217,119.863425,18953,Blue-winged Racquet-tail
Ploceus flavipes,3.752407,29.52035,73257,Yellow-legged Weaver
