taxon_id,Name,Common name,Latitude,Longitude
135833,Macrozamia cardiacensis,Macrozamia cardiacensis,-25.6,152
135937,Encephalartos relictus,Swazi Cycad,-25.6717,28.244
872742,Cycas chenii,Cycas chenii,,
136038,Cycas silvestris,Cycas silvestris,,
136031,Cycas pachypoda,Cycas pachypoda,11.7,109.15
136226,Cycas fugax,Cycas fugax,,
136221,Cycas collina,Cycas collina,12.76667,100.93333
135586,Zamia stricta,Zamia stricta,20.06583,-75.5439
135829,Macrozamia occidua,Macrozamia occidua,-28.9,151.7
136205,Cycas chevalieri,Cycas chevalieri,19.051944,104.615833
136122,Cycas saxatilis,Cycas saxatilis,,
522227,Cycas sancti-lasallei,Cycas sancti-lasallei,,
564568,Cycas montana,Cycas montana,12.76667,100.93333
564572,Cycas orixensis,Cycas orixensis,22.559428,88.291364
564571,Cycas nitida,Cycas nitida,,
564578,Cycas vespertilio,Cycas vespertilio,,
136222,Cycas condaoensis,Cycas condaoensis,12.76667,100.93333
136192,Cycas couttsiana,Cycas couttsiana,-19.4,144.5
564539,Ceratozamia brevifrons,Ceratozamia brevifrons,,
564545,Zamia gomeziana,Zamia gomeziana,9.80516,-83.16788
564562,Cycas cantafolia,Cycas cantafolia,2.316667,102.543667
564563,Cycas darshii,Cycas darshii,,
136126,Cycas sphaerica,Cycas sphaerica,,
136144,Cycas ferruginea,Cycas ferruginea,25.25,110.29
136040,Cycas tuckeri,Cycas tuckeri,-14.2,143.3
136191,Cycas desolata,Cycas desolata,-14.441481,132.280244
136033,Cycas papuana,Cycas papuana,12.76667,100.93333
1444882,Ceratozamia aurantiaca,Ceratozamia aurantiaca,,
136194,Cycas lane-poolei,Cycas lane-poolei,-14.966667,125.85
564570,Cycas nayagarhensis,Cycas nayagarhensis,,
564574,Cycas pschannae,Cycas pschannae,22.56,88.29
564565,Cycas lacrimans,Cycas lacrimans,,
746676,Cycas distans,Cycas distans,-16.3,143.7
136223,Cycas cupida,Cycas cupida,-21.5,146.6
1566716,Ceratozamia gigantea,Ceratozamia gigantea,,
1001393,Cycas seshachalamensis,Cycas seshachalamensis,,
135822,Macrozamia elegans,Macrozamia elegans,-33.464877,150.710334
135603,Zamia urep,Zamia urep,-9.56972,-74.90333
135946,Encephalartos macrostrobilus,Encephalartos macrostrobilus,,
135959,Encephalartos marunguensis,Encephalartos marunguensis,-25.75,28.19
136030,Cycas nongnoochiae,Cycas nongnoochiae,,
136111,Encephalartos delucanus,Encephalartos delucanus,12.76667,100.93333
136219,Cycas aculeata,Cycas aculeata,,
136229,Cycas annaikalensis,Cycas annaikalensis,,
135532,Zamia disodon,Zamia disodon,8.11667,-76.66667
135594,Zamia lecointei,Zamia lecointei,,
135598,Zamia monticola,Zamia monticola,12.76667,100.93333
523717,Cycas aenigma,Cycas aenigma,,
136187,Cycas apoa,Cycas apoa,-6.840111,146.437167
136034,Cycas schumanniana,Cycas schumanniana,12.76667,100.93333
1150895,Cycas flabellata,Cycas flabellata,,
1150894,Cycas mindanaensis,Cycas mindanaensis,,
1150893,Zamia stenophyllidia,Zamia stenophyllidia,,
136215,Cycas brachycantha,Cycas brachycantha,22.412222,105.634722
136104,Encephalartos heenanii,Woolly Cycad,,
1446387,Ceratozamia leptoceras,Ceratozamia leptoceras,,
1477727,Zamia multidentata,Zamia multidentata,,
1539981,Ceratozamia rosea,Ceratozamia rosea,,
135942,Encephalartos nubimontanus,Blue Cycad,,
1452470,Ceratozamia sancheziae,Ceratozamia sancheziae,,
1422968,Ceratozamia oliversacksii,Ceratozamia oliversacksii,,
1596423,Cycas divyadarshanii,Cycas divyadarshanii,,
1596421,Ceratozamia osbornei,Ceratozamia osbornei,16.383333,-89.15
1596422,Zamia sinuensis,Zamia sinuensis,,
1596424,Cycas dharmrajii,Cycas dharmrajii,,
135537,Zamia gentryi,Zamia gentryi,12.76667,100.93333
1591715,Zamia magnifica,Zamia magnifica,,
1579954,Ceratozamia alba,Ceratozamia alba,,
136012,Gnetum formosum,Gnetum formosum,21.151388,107.101666
340435,Ephedra kardangensis,Ephedra kardangensis,35.243889,75.616945
135469,Ephedra somalensis,Somaliland Jointfir,10.78333,47.28333
135456,Ephedra vvedenskyi,Ephedra vvedenskyi,,
135494,Ephedra holoptera,Ephedra holoptera,,
136010,Gnetum bosavicum,Gnetum bosavicum,-6.43333,142.83333
135933,Gnetum buchholzianum,Gnetum buchholzianum,2.187222,16.5325
564676,Gnetum interruptum,Gnetum interruptum,-0.793333,13.788333
135990,Gnetum klossii,Gnetum klossii,,
135502,Ephedra dawuensis,Ephedra dawuensis,,
135457,Ephedra tilhoana,Ephedra tilhoana,,
136005,Gnetum venosum,Gnetum venosum,-1.170944,-46.806694
135458,Ephedra brevifoliata,Ephedra brevifoliata,,
136003,Gnetum camporum,Gnetum camporum,2.71638,-60.54722
136008,Gnetum loerzingii,Gnetum loerzingii,-0.33333,100.66667
136014,Gnetum globosum,Gnetum globosum,,
135921,Gnetum catasphaericum,Gnetum catasphaericum,,
135462,Ephedra oxyphylla,Ephedra oxyphylla,,
135467,Ephedra sarcocarpa,Ephedra sarcocarpa,,
136001,Gnetum schwackeanum,Gnetum schwackeanum,-3.16075,-70.165611
136006,Gnetum arboreum,Gnetum arboreum,15.76667,120
135468,Ephedra rituensis,Ephedra rituensis,33.38,79.73
135461,Ephedra pentandra,Ephedra pentandra,,
135487,Ephedra minuta,Ephedra minuta,,
135994,Gnetum diminutum,Gnetum diminutum,,
135995,Gnetum gnemonoides,Gnetum gnemonoides,20.34917,105.60194
136622,Ephedra transitoria,Ephedra transitoria,,
135993,Gnetum neglectum,Gnetum neglectum,-0.33333,115.91667
135496,Ephedra botschantzevii,Ephedra botschantzevii,42.35906,75.04266
135500,Ephedra milleri,Ephedra milleri,17.186389,53.9175
135922,Gnetum giganteum,Gnetum giganteum,22.06,106.86
135915,Gnetum gracilipes,Gnetum gracilipes,22.06,106.86
136011,Gnetum contractum,Gnetum contractum,,
1001396,Ephedra yangthangensis,Ephedra yangthangensis,,
135493,Ephedra laristanica,Ephedra laristanica,,
135459,Ephedra aurantiaca,Ephedra aurantiaca,38.90694,46.32639
1230157,Gnetum cleistostachyum,Gnetum cleistostachyum,25.12,105.47
135998,Gnetum acutum,Gnetum acutum,4.43333,114.45
