taxon_id,Name,Common name,Latitude,Longitude
1023400,Musseromys anacuao,Sierra Madre Tree Mouse,,
1023401,Musseromys beneficus,Mount Pulag Tree Mouse,,
1023402,Musseromys gulantang,Banahao Tree Mouse,,
44791,Oecomys speciosus,Beautiful Arboreal Rice Rat,9.395472,-75.708528
1023442,Necromys lilloi,Lillo's Akodont,,
1023443,Nectomys magdalenae,Magdalena-Cauca Water Rat,6.372722,-74.021944
43827,Ctenodactylus vali,Val's Gundi,29.833333,-2.75
959895,Phyllotis pearsoni,Pearson's Leaf-eared Mouse,,
43121,Lepus hainanus,Hainan Hare,19.51448,109.54598
887391,Alexandromys limnophilus,lacustrine vole,48.1,93.2
1038917,Peromyscus carletoni,Carleton's Deer Mouse,22.190317,-104.797967
44009,Carterodon sulcidens,Owl's Spiny Rat,,
1583015,Rhinolophus robertsi,Greater Large-eared Horseshoe Bat,,
1279895,Eupetaurus nivamons,Yunnan Woolly Flying Squirrel,27.89,98.76
334530,Pseudohydromys patriciae,Woolley's moss mouse,,
738173,Lophuromys pseudosikapusi,Sheko Forest Brush-furred Rat,,
44641,Akodon budini,Budin's Grass Mouse,,
1370858,Pteropus allenorum,Small Samoan Flying-fox,,
907320,Cerradomys akroai,Akroá's Rice Rat,,
959833,Leptomys paulus,Small Leptomys,,
45221,Macruromys major,Greater Small-toothed Rat,,
965098,Thomasomys australis,Austral Thomasomys,-17.21194,-65.86917
45302,Melomys bougainville,Bougainville Melomys,-7.39762,155.5739
74562,Melomys cooperae,Yamdena Island Melomys,,
46758,Crocidura picea,Cameroonian Shrew,,
334517,Apomys banahao,Banahaw Forest Mouse,14.07706,121.49262
334519,Hylomyscus pamfi,African Wood Mouse,6.357666,8.3205
334533,Pseudohydromys berniceae,Bishop moss mouse,-10.2826,150.155
74461,Kerivoula krauensis,Krau Woolly Bat,-4.94,103.89
607027,Macroscelides micus,Etendeka Round-eared Sengi,-19.868383,13.6768
1370836,Murina beelzebub,Beelzebub Tube-nosed Bat,,
429912,Scotophilus ejetai,Ejeta's House Bat,,
765466,Myotis diminutus,Diminutive Myotis,,
765479,Platyrrhinus angustirostris,Slender Broad-nosed Bat,4.52048,-73.43119
765488,Rhinolophus mcintyrei,McIntyre's Horseshoe Bat,10.12393,125.61093
765491,Rhinolophus tatar,Tatar Horseshoe Bat,-5.2,122.9
1431196,Phyllotis vaccarum,Punta de Vacas Leaf-eared Mouse,,
334534,Rattus nikenii,Niken's Rat,,
74765,Nephelomys meridensis,Mérida rice rat,7.022778,-72.888889
1369295,Cebus leucocephalus,Sierra de Perijá White-fronted Capuchin,9.85,-72.099998
40729,Hipposideros corynophyllus,Telefomin roundleaf bat,,
74421,Hipposideros edwardshilli,Hill's Leaf-nosed Bat,,
907250,Calomys chinchilico,Chinchilico Vesper Mouse,-15.8,-74.3368
1134887,Ctenomys ibicuiensis,Ibicui Tuco-tuco,,
907248,Calomys achaku,Achaku Vesper Mouse,-15.597633,-71.414833
952698,Graphiurus walterverheyeni,Eastern Thick-tailed African Dormouse,6.45,2.35
907226,Bunomys torajae,Tana Toraja Hill Rat,,
334528,Leopoldamys diwangkarai,Diwangkara's Long-tailed Giant Rat,,
43310,Microperoryctes longicauda,Long-tailed Bandicoot,-6.5429597,145.0701046
320632,Rhinolophus horaceki,Horáček's horseshoe bat,,
882928,Microtus afghanus,Afghan Vole,35.26667,62.33333
882927,Microtus bucharensis,Bucharian Vole,,
74047,Akodon reigi,Reig's Grass Mouse,,
1407075,Ochotona sacraria,Sacred Pika,,
74721,Myzopoda schliemanni,Western sucker-footed bat,,
907323,Cerradomys vivoi,Vivo's Rice Rat,,
559152,Glauconycteris atra,Blackish Butterfly Bat,-1.03,31.57
940581,Fukomys livingstoni,Livingstone's Molerat,,
45888,Ctenomys validus,Strong Tuco-tuco,,
75201,Trinomys albispinus,White-spined Spiny Rat,-23.004167,-47.150833
41287,Mormopterus doriae,Sumatran mastiff bat,-8.094325,-35.198938
44502,Oxymycterus paramensis,Páramo Hocicudo,-24.126444,-65.296556
907337,Coccymys kirrhos,Tawny Brush Mouse,,
43933,Echimys saturnus,Dark Spiny Tree Rat,,
850983,Akodon polopi,Polop's Grass Mouse,-31.316666,-63.333333
207691,Microhydromys argenteus,Southern Groove-toothed Mouse,,
765550,Austronomus kuboriensis,New Guinea Free-tailed Bat,-6.016667,144.45
75072,Scotophilus tandrefana,Western Yellow Bat,,
74455,Hylopetes platyurus,Jentink's Flying Squirrel,2.92,101.57
1226363,Rhinolophus chiewkweeae,Chiew Kwee's Horseshoe Bat,,
935860,Dasymys robertsii,Robert's Shaggy Rat,,
1239629,Murina eleryi,Elery's Tube-nosed Bat,27.62,97.37
41096,Lonchophylla bokermanni,Bokermann's nectar bat,-22.404339,-42.028077
957437,Holochilus lagigliai,Lagiglia's Marsh Rat,,
1575574,Talpa streeti,Street's Mole,39.9042,116.407396
1575575,Talpa transcaucasica,Transcaucasian Mole,,
1575573,Talpa hakkariensis,Hakkari Mole,,
74673,Mylomys rex,King Mill Rat,,
45150,Praomys minor,Least Praomys,-2.747295,25.101257
45145,Praomys misonnei,Misonne's Praomys,3.39,23.46
74134,Calomys tocantinsi,Tocantins vesper mouse,-11.783334,-49.75
74166,Cerradomys maracajuensis,Maracaju Rice Rat,-14.7664,-61.0347
45148,Praomys mutoni,Muton's Soft-furred Mouse,0.79659,24.497792
44487,Oryzomys dimidiatus,Thomas's rice rat,12.01972,-83.76333
1431636,Salpingotus thomasi,Thomas's Pygmy Jerboa,,
74632,Miniopterus sororculus,Sororcula Long-fingered Bat,-22.63336,45.21808
1582140,Thrichomys fosteri,Foster's Punare,-18.95,-56.466667
45486,Taeromys callitrichus,Lovely-haired Rat,1.10642,120.9106
75178,Thyroptera devivoi,De Vivo's Disk-winged Bat,3.890275,-71.483027
334516,Apomys brownorum,Mount Tapulao Forest Mouse,15.48189,120.11956
738170,Cryptotis merus,Darién Small-eared Shrew,,
1431845,Callosciurus honkhoaiensis,Hon Khoai Squirrel,,
522200,Neotoma insularis,Ángel de la Guarda Woodrat,,
852378,Eumops delticus,Delta Bonneted Bat,-22.3498,-57.69228
44578,Rattus burrus,Miller's Nicobar Rat,,
74843,Paramelomys steini,Stein’s Paramelomys,,
1023403,Musseromys inopinatus,Amuyao Tree Mouse,17.0327,121.11604
1279891,Sundasciurus natunensis,Natuna Squirrel,,
74764,Nephelomys levipes,Light-footed Rice Rat,-16.194444,-67.873333
40845,Rousettus spinalatus,Bare-backed Rousette,4.04427,114.91375
44856,Thomasomys eleusis,Peruvian Oldfield Mouse,,
607221,Thomasomys dispar,Colombian Thomasomys,2.103495,-76.062493
40867,Nyctimene draconilla,Dragon Tube-nosed Fruit Bat,-6.531694,143.109889
40855,Nyctimene masalai,Demonic Tube-nosed Fruit Bat,-4.533,152.95
45487,Taeromys hamatus,Sulawesi Montane Rat,,
74931,Plerotes anchietae,Anchieta's broad-faced fruit bat,-14.18875,35.38036
334531,Pseudohydromys sandrae,white-bellied moss mouse,,
44573,Rattus mindorensis,Mindoro Mountain Rat,12.74088,121.20296
46153,Sundasciurus moellendorffi,Culion Tree Squirrel,11.88,120.02
46157,Sundasciurus rabori,Palawan Montane Squirrel,8.813011,117.663131
44544,Rattus mollicomulus,Lampobatang Sulawesi Rat,-5.297679,119.953887
44557,Rattus palmarum,Zelebor’s Nicobar Rat,,
40735,Hipposideros nequam,Malayan roundleaf bat,,
40611,Murina tenebrosa,gloomy tube-nosed bat,,
46156,Sundasciurus davensis,Davao Squirrel,,
44553,Rattus feliceus,Spiny Seram Island Rat,,
44549,Rattus mordax,Eastern Rat,,
44590,Rattus novaeguineae,New Guinea Rat,,
959832,Juliomys ximenezi,Araucaria Forest Tree Mouse,-29.16,-50.1
44579,Rattus steini,Small Spiny Rat,-5.2831,142.498
45880,Ctenomys bonettoi,Bonetto's Tuco-tuco,-26.92,-59.53
74457,Isothrix sinnamariensis,Sinnamary Toró,2.41027,-53.10427
43971,Proechimys hoplomyoides,Guyanan Spiny Rat,,
74951,Proechimys kulinae,Kulina Spiny Rat,-4.45,-73.05
43972,Proechimys longicaudatus,Long-tailed Spiny Rat,-14.7664,-61.0347
43958,Proechimys mincae,Minca Spiny Rat,,
43952,Proechimys steerei,Steere's Spiny Rat,,
75203,Trinomys eliasi,Elias' Atlantic Spiny-rat,-22.2862,-41.7368
75204,Trinomys gratiosus,Gracile Atlantic Spiny-rat,-20.3561,-40.625
