taxon_id,Name,Common name,Latitude,Longitude
561353,Chlorocypha maxima,Chlorocypha maxima,-1.96,12.22
562819,Chloropetalia kimminsi,Chloropetalia kimminsi,,
98242,Coeliccia rotundata,Coeliccia rotundata,,
98540,Coryphagrion grandis,Coryphagrion grandis,-4.166667,39.466667
98812,Cyanallagma angelae,Cyanallagma angelae,,
197356,Drepanoneura peruviensis,Drepanoneura peruviensis,-11.7815,-76.7017
991005,Drepanosticta adenani,Drepanosticta adenani,1.6532,112.2729
561062,Drepanosticta aurita,Drepanosticta aurita,13.2514,121.1386
561105,Drepanosticta machadoi,Drepanosticta machadoi,-5.2156,141.2309
561107,Drepanosticta makilingia,Drepanosticta makilingia,,
561111,Drepanosticta misoolensis,Drepanosticta misoolensis,,
561114,Drepanosticta moorei,Drepanosticta moorei,16.15,120.95
561117,Drepanosticta obiensis,Drepanosticta obiensis,,
561122,Drepanosticta psygma,Drepanosticta psygma,-0.71667,127.58333
561123,Drepanosticta pterophora,Drepanosticta pterophora,-4.68003,141.7698
561124,Drepanosticta pytho,Drepanosticta pytho,-0.380997,100.472997
561128,Drepanosticta rudicula,Drepanosticta rudicula,,
562511,Ebegomphus conchinus,Ebegomphus conchinus,,
110606,Progomphus adaptatus,Progomphus adaptatus,,
562730,Progomphus delicatus,Progomphus delicatus,3.91451,-53.24036
99765,Elattoneura centrafricana,Elattoneura centrafricana,0.83,24.34
99927,Enallagma truncatum,Cuban Bluet,,
562058,Pericnemis melansoni,Pericnemis melansoni,,
561909,Franciscagrion longispinum,Franciscagrion longispinum,-20.2442,-46.4468
562053,Pericnemis dowi,Pericnemis dowi,1.0852,111.2419
100201,Epipleoneura manauensis,Epipleoneura manauensis,51.7997,10.6667
100204,Epipleoneura tariana,Epipleoneura tariana,,
100206,Epipleoneura williamsoni,Epipleoneura williamsoni,-23.9,-56.33
562747,Progomphus racenisi,Progomphus racenisi,0.85,-65.97
110633,Progomphus tantillus,Progomphus tantillus,,
562750,Progomphus tibialis,Progomphus tibialis,,
561009,Indolestes guizhouensis,Indolestes guizhouensis,,
560997,Archilestes chocoanus,Archilestes chocoanus,3.6077,-76.8891
197409,Forcepsioneura garrisoni,Forcepsioneura garrisoni,-11.524631,-54.355206
110653,Proneura prolongata,Proneura prolongata,,
561763,Proplatycnemis longiventris,Proplatycnemis longiventris,,
561765,Proplatycnemis protostictoides,Proplatycnemis protostictoides,,
562555,Gomphoides praevia,Gomphoides praevia,-27.0497,-52.4
101917,Gynacantha apiaensis,Gynacantha apiaensis,,
562324,Gynacantha rolandmuelleri,Gynacantha rolandmuelleri,12.4792,122.5219
561362,Heliocypha vantoli,Heliocypha vantoli,,
562954,Hemicordulia pacifica,Hemicordulia pacifica,,
93455,Aethiothemis bella,Striped Flasher,,
433087,Aethiothemis coryndoni,Orange-bellied Flasher,0.066788,32.478642
103477,Ischnura acuticauda,Ischnura acuticauda,-5.810708,145.106049
197156,Hetaerina charca,Hetaerina charca,-11.7815,-72.7017
197158,Hetaerina flavipennis,Hetaerina flavipennis,10.976667,-74.072936
433091,Aethiothemis incongruens,Slender Flasher,5.64978,-8.15784
108224,Palaemnema cyclohamulata,Hook-tipped Shadowdamsel,,
197369,Protoneura peramans,Superb Threadtail,,
94199,Anotogaster gigantica,Anotogaster gigantica,,
561125,Drepanosticta quadricornu,Drepanosticta quadricornu,10.8008,119.2892
197403,Idioneura celioi,Idioneura celioi,,
561623,Igneocnemis antoniae,Igneocnemis antoniae,,
560999,Indolestes alfurus,Indolestes alfurus,1,128
561008,Indolestes goniocercus,Indolestes goniocercus,-0.88,131.261
561015,Indolestes lygisticercus,Indolestes lygisticercus,-3.38549,142.26533
197686,Inpabasis machadoi,Inpabasis machadoi,,
562012,Nesobasis recava,Nesobasis recava,,
103478,Ischnura albistigma,Ischnura albistigma,,
103482,Ischnura buxtoni,Ischnura buxtoni,,
197682,Ischnura indivisa,Ischnura indivisa,4.4134,-75.852933
197681,Ischnura rufovittata,Ischnura rufovittata,,
561723,Palaiargia micropsitta,Palaiargia micropsitta,-1.82406,129.865
563028,Diplacina hippolyte,Diplacina hippolyte,-5.1202,141.2547
562879,Lauromacromia luismoojeni,Lauromacromia luismoojeni,,
105157,Malgassophlebia westfalli,Dark Leaftipper,-1.58588,13.15631
197677,Leptagrion bocainense,Leptagrion bocainense,-27.771008,-48.492343
109415,Phyllomacromia aeneothorax,Phyllomacromia aeneothorax,4.9167,9.25
149501,Lestes angularis,Lestes angularis,,
105794,Micromacromia miraculosa,Usambara Micmac,-5.0997,38.6317
197305,Lestes simplex,Allied Spreadwing,,
197303,Lestes sternalis,Lestes sternalis,,
562588,Lestinogomphus obtusus,Lestinogomphus obtusus,7.5025,-8.6969
104600,Lieftinckia lairdi,Lieftinckia lairdi,-9.6464,160.0443
561277,Pyrrhargiolestes kula,Pyrrhargiolestes kula,-10.5936,150.7005
561817,Agriocnemis pieli,Agriocnemis pieli,,
561897,Denticulobasis ariken,Denticulobasis ariken,,
103303,Idiocnemis adelbertensis,Idiocnemis adelbertensis,-5.383,145.744
111772,Rhyacocnemis leonorae,Rhyacocnemis leonorae,-6.7166,145.0833
105026,Macromia erato,Macromia erato,-6.725,106.933
562860,Macromia negrito,Macromia negrito,,
105072,Macrothemis flavescens,Macrothemis flavescens,3.3517,-59.675
518391,Macrothemis nobilis,Pegtooth Sylph,3.92404,-53.23477
563121,Macrothemis taurepan,Macrothemis taurepan,,
563124,Malgassophlebia andzaba,Redwater Leaftipper,-1.4549,14.1785
93907,Amphicnemis pandanicola,Amphicnemis pandanicola,,
197657,Mesamphiagrion tamaense,Mesamphiagrion tamaense,4.61214,-74.07082
197649,Mesoleptobasis cantralli,Mesoleptobasis cantralli,-4.42,-73.43
561252,Metagrion sponsus,Metagrion sponsus,-4.033,139.787
561982,Metaleptobasis prostrata,Metaleptobasis prostrata,10.891639,-84.785276
560998,Indolestes albicaudus,Indolestes albicaudus,-0.88175,131.286
111742,Rhipidolestes malaisei,Rhipidolestes malaisei,,
197188,Mnesarete williamsoni,Mnesarete williamsoni,-1.45,-48.48
561996,Mortonagrion megabinluyog,Mortonagrion megabinluyog,,
96901,Celebophlebia dactylogastra,Celebophlebia dactylogastra,-2.933,120.1
97581,Chlorocypha dahli,Chlorocypha dahli,,
106506,Nannophlebia agalma,Nannophlebia agalma,-8.9277,146.9591
563155,Nannophlebia amphicyllis,Nannophlebia amphicyllis,-5.2937,141.2524
563165,Nannophlebia leoboppi,Nannophlebia leoboppi,-4.117,139.633
562883,Macromidia atrovirens,Macromidia atrovirens,-4.1667,103
503056,Nannophya paulsoni,Nannophya paulsoni,-12.25,136.883333
197639,Metaleptobasis quadricornis,Metaleptobasis quadricornis,5.470625,-55.212429
561531,Tanymecosticta jejuna,Tanymecosticta jejuna,-0.88,131.261
561774,Risiocnemis confusa,Risiocnemis confusa,,
562037,Papuagrion marijanmatoki,Papuagrion marijanmatoki,-5.12028,141.25806
562227,Epiophlebia sinensis,Epiophlebia sinensis,,
563128,Micrathyria borgmeieri,Micrathyria borgmeieri,,
562897,Neocordulia santacatarinensis,Neocordulia santacatarinensis,-26.930515,-52.86445
563169,Neodythemis infra,Neodythemis infra,1.9441,16.4699
106818,Neoneura fulvicollis,Neoneura fulvicollis,-6.513992,-50.068138
197384,Neoneura leonardoi,Neoneura leonardoi,,
562900,Nesocordulia rubricauda,Nesocordulia rubricauda,,
106971,Neuraeschna tapajonica,Neuraeschna tapajonica,,
106995,Neurogomphus pallidus,Neurogomphus pallidus,,
106986,Neurogomphus angustisigna,Neurogomphus angustisigna,,
197588,Telebasis paraensei,Telebasis paraensei,-21.815625,-41.293412
107093,Nososticta phoenissa,Nososticta phoenissa,-3.4333,126.5333
562627,Nychogomphus geometricus,Nychogomphus geometricus,-7.0567,106.801
107457,Oligoaeschna elacatura,Oligoaeschna elacatura,-2.4166,115.2391
563186,Oligoclada haywardi,Oligoclada haywardi,-27.0497,-52.4
563190,Oligoclada mortis,Oligoclada mortis,,
563196,Oligoclada waikinimae,Oligoclada waikinimae,,
562861,Macromia polyhymnia,Macromia polyhymnia,,
197482,Oreiallagma prothoracicum,Oreiallagma prothoracicum,,
561756,Prodasineura poncei,Prodasineura poncei,,
562077,Protallagma hoffmanni,Protallagma hoffmanni,-22.32641,-66.079634
110701,Protoneura calverti,Protoneura calverti,4.628277,-55.423363
197628,Oxyagrion evanescens,Oxyagrion evanescens,-21.98157,-47.87392
108070,Oxyagrion sulinum,Oxyagrion sulinum,,
109167,Petaliaeschna fletcheri,Petaliaeschna fletcheri,,
113817,Teinobasis simulans,Teinobasis simulans,-8.2833,157.6043
108243,Palaiargia eos,Palaiargia eos,-1.233,132.2
108245,Palaiargia humida,Palaiargia humida,-6.617,147.033
99640,Dysphaea walli,Sapphire Torrent Dart,23.5863,81.173004
98239,Coeliccia prakritii,Coeliccia prakritii,,
108404,Papuargia stueberi,Papuargia stueberi,-5.4855,144.2355
108488,Paragomphus acuminatus,Paragomphus acuminatus,0.80612,24.28389
108490,Paragomphus aureatus,Paragomphus aureatus,,
108577,Paramecocnemis erythrostigma,Paramecocnemis erythrostigma,-4.03,139.78
561168,Protosticta marenae,Protosticta marenae,1.794,120.133
110732,Protosticta uncata,Protosticta uncata,,
562089,Pseudagrion chloroceps,Pseudagrion chloroceps,,
562090,Pseudagrion civicum,Pseudagrion civicum,-0.91258,130.59839
110788,Pseudagrion coeruleipunctum,Pseudagrion coeruleipunctum,-0.64766,13.68004
110798,Pseudagrion dundoense,Pseudagrion dundoense,,
562100,Pseudagrion evanidum,Pseudagrion evanidum,,
562104,Pseudagrion fumipennis,Pseudagrion fumipennis,,
197497,Tepuibasis chimantai,Tepuibasis chimantai,,
197537,Perissolestes klugi,Perissolestes klugi,,
197377,Peristicta muzoni,Peristicta muzoni,,
197502,Philogenia macuma,Philogenia macuma,,
562688,Phyllocycla ophis,Phyllocycla ophis,3.370172,-55.428513
561759,Prodasineura theebawi,Prodasineura theebawi,,
562713,Phyllogomphoides regularis,Phyllogomphoides regularis,,
109670,Platygomphus feae,Platygomphus feae,,
94572,Argia subapicalis,Argia subapicalis,,
109422,Phyllomacromia caneri,Phyllomacromia caneri,,
94822,Atoconeura pseudeudoxia,Hairy-legged Highlander,0.6431,30.393
98223,Coeliccia brachysticta,Coeliccia brachysticta,,
562244,Anaciaeschna moluccana,Anaciaeschna moluccana,-3.4,126.6667
102486,Hemicordulia apoensis,Hemicordulia apoensis,,
105076,Macrothemis idalia,Macrothemis idalia,43.237653,-8.383154
102496,Hemicordulia mumfordi,Hemicordulia mumfordi,,
197749,Argia difficilis,Argia difficilis,4.07256,-73.58506
518417,Porpax mezierei,Porpax mezierei,-1.61,13.91
93153,Aciagrion macrootithenae,Aciagrion macrootithenae,,
107087,Nososticta evelynae,Nososticta evelynae,-0.08175,130.75505
110831,Pseudagrion mascagnii,Pseudagrion mascagnii,,
562110,Pseudagrion mellisi,Pseudagrion mellisi,,
562112,Pseudagrion mohelii,Pseudagrion mohelii,-12.8206,45.14743
562113,Pseudagrion munte,Pseudagrion munte,-8.77,26.84
107098,Nososticta wallacii,Nososticta wallacii,-0.88,131.261
93469,Africallagma pallidulum,Africallagma pallidulum,-11.30119,24.27532
733483,Pseudagrion parafarinicolle,Pseudagrion parafarinicolle,-6.323,143.267
110840,Pseudagrion pontogenes,Pseudagrion pontogenes,-12.80356,45.17824
562118,Pseudagrion pterauratum,Pseudagrion pterauratum,,
110858,Pseudagrion superbum,Pseudagrion superbum,1.293,23.432
110865,Pseudagrion vakoanae,Pseudagrion vakoanae,,
562131,Pseudagrion woodlarkensis,Pseudagrion woodlarkensis,-9.1673,152.77965
518423,Trithemis hinnula,Mule Dropwing,6.4656,3.6541
115290,Zygonoides occidentis,Congo Riverking,,
561769,Pseudocopera superplatypes,Pseudocopera superplatypes,,
110580,Prodasineura flammula,Prodasineura flammula,5.12368,115.94304
108519,Paragomphus tournieri,Paragomphus tournieri,7.45,-8.66
562396,Rhionaeschna condor,Rhionaeschna condor,,
561781,Risiocnemis laguna,Risiocnemis laguna,,
733546,Salomocnemis gerdae,Salomocnemis gerdae,-9.5833,160.3333
562134,Sangabasis bukid,Sangabasis bukid,,
562141,Sangabasis furcata,Sangabasis furcata,8.7,126.1833
112042,Sapho puella,Sapho puella,,
149253,Burmagomphus johnseni,Burmagomphus johnseni,,
112103,Scalmogomphus wenshanensis,Scalmogomphus wenshanensis,,
561525,Selysioneura stenomantis,Selysioneura stenomantis,-2.61416,140.308
561528,Selysioneura venilia,Selysioneura venilia,-1.133,131.5
112441,Selysioneura virgula,Selysioneura virgula,-9.05,152.7167
561948,Leptagrion afonsoi,Leptagrion afonsoi,,
103408,Indolestes bilineatus,Indolestes bilineatus,,
1358938,Cora subfumata,Cora subfumata,,
149609,Palaeothemis tillyardi,Palaeothemis tillyardi,,
