sequence,taxon_id,Name,Common name,Latitude,Longitude,type locality
2642,36984,Ablepharus darvazi,Darvaz Mountains Snake-eyed Skink,38.1921,71.1662,"Type locality: Tajikistan, Darvazsky ridge, on the road the village of Lyangaro - pass Hobu-Robot."
971,539193,Ablepharus lindbergi,Lindberg's Snake-eyed Skink,34.347,62.18,"Type locality: “E Hérat, W-Afghanistan (Steppe einige km W Obeh)”"
913,1367374,Ablepharus mahabharatus,Mahabharat Ground Skink,27.55,85.05,"Type locality: ""Central of Nepal, northern slope of Mahabharat mountain range, along Bhainse-Pass Daman"" (27° 33'N; 85° 03'E)"
907,1367373,Ablepharus nepalensis,Nepal Ground Skink,28.233,83.983,"Type locality: ""Central of Nepal, along the road between Suikhet-Nandanda, Pokhara, 1580 m"" (Pokhara at 28° 14'N; 83° 59'E, Nepal); SH 739; 741-43 (four paratypes), ""Central of Nepal, along the road between Suikhet-Nandanda, Pokhara, 1500-1580 m""."
893,1367371,Ablepharus tragbulensis,Pakistan Ground Skink,34.4833,74.6667,"Type locality: Tragbul Pass, (34° 29'N, 74° 40'E), about 50 Km  NNW Srinagar, Kashmir, India and Pakistan, 9000 ft."
1171,32020,Abronia bogerti,Bogert's Arboreal Alligator Lizard,16.57,-95.045,"Type locality: Sierra Atravesada, north of Niltepec, between Cerro Atravesada and Sierra Madre, Oaxaca, Mexico, elevation probably between 2500 and 4500 feet."
2842,32016,Abronia fimbriata,Cáquipec Arboreal Alligator Lizard,15.459,-90.3606,"Type locality: ""les forèts de pins de la haute Vera Paz (Guatemala oriental)"" (Bocourt, 1878 [1870--1909]), according to Brygoo (1987: 6); restricted to vicinity of Cáquipec, Department of Alta Verapaz, Guatemala by CAMPBELL (on  http://www.uta.edu/biology/campbell/guatemala/checklist.html)."
1309,32015,Abronia frosti,Frost’s Arboreal Alligator Lizard,15.6015,-91.4711,"Type locality: Along road to Patalcal, 5.9 km (by road) NW intersection of Guatemala road 9N (near San Mateo Ixtatán), 2835 m."
1414,32011,Abronia leurolepis,Smoothback Arboreal Alligator Lizard,16.2475,-92.1922,"Type locality: Santa Rosa, near Comitán, E Chiapas, Mexico (1800-2300 m)"
2377,32004,Abronia ochoterenai,Northern Chiapas Arboreal Alligator Lizard,16.25,-92.132,"Type locality: Santa Rosa, Comitán, Chiapas."
2540,32002,Abronia ramirezi,Ramirez's Alligator Lizard,16.6753,-93.0603,"Type locality: Rancho El Recuerdo, Cerro La Vela, Sierra Madre de Chiapas, Municipio de Jiquipilas, Chiapas, México, 1350 m."
2636,32001,Abronia reidi,Reid's Arboreal Alligator Lizard,19.2533,-96.9597,"Type locality: Mexico: Volcan San Martin, crater rim, Veracruz."
1465,35447,Acanthodactylus ahmaddisii,Jordanian fringe-fingered lizard,31.7028,35.9951,"Type locality: 36 km south of Amman, Jordan."
2374,35436,Acanthodactylus boueti,Chabanaud's Fringe-fingered Lizard,6.37,1.554,"Type locality: “Agouagou, Dahomey”"
1161,539195,Acanthodactylus khamirensis,Acanthodactylus khamirensis,26.5131,55.9789,"Type locality: 7 km east of Khamir port, during field work on 10 May 2010, from coastal line of the Persian Gulf, 1km to sea shore, at 26° 30′ 47′′N, 055° 58′ 44.2′′E and about 40m elevation (asl), Hormozgan province, southern Iran."
1162,35422,Acanthodactylus nilsoni,Nilson's Spiny-toed Lizard,34.5,45.55,"Type locality: 34º30'N, 45º33'E, 5 km S Qasr-e Shirin, Kermanshah Province, Iran, about 7 km from Iran-Iraq border, 285 m elevation."
196,35418,Acanthodactylus robustus,Robust Fringe-fingered Lizard,35,38,Type locality: Syrische Wüste bei Bir Molusi (Ka’ra)
1062,35448,Acanthodactylus yemenicus,Yemen Fringe-fingered Lizard,13.5757,44.0207,"Type locality: Ta’izz, Yemen"
1569,1304836,Acanthodactylus zagrosicus,Acanthodactylus zagrosicus,32.4477,48.874,"Type locality: roadside from Gotvand to Saland (around 60 km east of Dezful city, Khuzestan Province, Iran), 32° 26 ́ 51.54 ̋ N, 48° 52 ́ 26.64 ̋ E at an elevation of 460 m a.s.l."
83,145861,Acanthosaura brachypoda,Fansipan Pricklenape,22.3056,104.072,"Type locality: Fan Si Pan Mount, Lao Cai Province, NW Vietnam"
481,1160845,Acanthosaura liui,Jianshui Pricklenape,23.34,102.74111,"Type locality: China, Yunnan, Jianshui; 23°20'24""N, 102°44'28""E; 1540 m"
1444,889687,Acanthosaura murphyi,Langbian Pricklenape,12.1218,108.9649,"Type locality: Hon Ba NR, Khanh Hoa Province (ca. 12°07.308’ N 108°57.896’ E, 1061 m a.s.l.) "
1686,1129180,Acanthosaura prasina,Lesser Green Pricklenape,14.311,108.363,"Type locality: Kon Chu Rang NR, the Broad of Kon Chu Rang (14.311 °N 108.363 °E), Gia Lai Province, Vietnam."
520,1499869,Achalinus damingensis,Achalinus damingensis,23.4984,108.4395,"Type locality: Daming Mountain (23°29′54.04′′ N, 108°26′22.15′′ E, 1272 m a. s. l.), Shanglin County, Nanning City, Guangxi Zhuang Autonomous Region, China."
116,965924,Achalinus emilyae,Achalinus emilyae,21.170833,107.166333,"Type locality: Dong Son-Ky Thuong Nature Reserve (21°10.15’N, 107°9.58’E, at an elevation of 348.5 m above sea level), Hoanh Bo District, Quang Ninh Province, Vietnam"
2635,27595,Achalinus hainanus,Hainan Odd-scaled Snake,18.4686,109.4106,"Type locality: Chien Fung Ling, Hainan, elevation 800 m"
519,1499868,Achalinus hunanensis,Achalinus hunanensis,27.467,110.033,"Type locality: Huangyan Village, Hecheng District, Huaihua City, Hunan Province, China (27°28′N, 110°02′E; ca. 880 m a.s.l.)."
2371,1545925,Achalinus nanshanensis,Achalinus nanshanensis,26.196206,110.132327,"Type locality: China, Hunan Province, Shaoyang City, Chengbu County, Nanshan National Park; 26°11′46.34′′N, 110°07′56.38′′E, alt. 1665 m"
