Name,Common_name,Taxon_id,Latitude,Longitude,Group
Arrenurus bleptopetiolatus,,,44.54596,-76.36737,Water mites
Arrenurus drepanophorus,,,49.5,-119.6,Water mites
Arrenurus fissicornis,,1133914,44.540813,-77.362976,Water mites
Arrenurus hungerfordi,,,60.7884,-135.1875,Water mites
Arrenurus longicaudatus,,,44.8923,-77.194,Water mites
Arrenurus manubriator,,1113531,44.56,-76.55,Water mites
Arrenurus membranator,,,49.5,-119.6,Water mites
Arrenurus mucronatus,,,49.5,-119.6,Water mites
Arrenurus reflexus,,1133927,49.5,-119.6,Water mites
Arrenurus rotundus,,1133985,49.5,-119.6,Water mites
Aturus acadiensis,,,49.5,-119.6,Water mites
Brachypoda versicolor,,1110835,49.5,-119.6,Water mites
Brachypodopsis setoniensis,,,44.566917,-76.32234,Water mites
Ljania bipapillata,,262309,49.5,-119.6,Water mites
Neobrachypoda ekmanni,,,49.5,-119.6,Water mites
Woolastookia pilositarsa,,,47.04,-67.4,Water mites
Eylais abitibiensis,,,49.5,-119.6,Water mites
Eylais discreta,,,49.5,-119.6,Water mites
Eylais extendens,,991515,49.5,-119.6,Water mites
Eylais infundibulifera,,991513,49.5,-119.6,Water mites
Eylais rimosa,,,49.5,-119.6,Water mites
Feltria cornuta,,,49.5,-119.6,Water mites
Feltria minuta,,,47.04,-67.4,Water mites
Feltria rubra,,,49.5,-119.6,Water mites
Hydrachna baculoscutata,,,49.5,-119.6,Water mites
Hydrachna canadensis,,,49.5,-119.6,Water mites
Hydrachna comosa,,,49.5,-119.6,Water mites
Hydrachna conjecta,,992859,49.5,-119.6,Water mites
Hydrachna cruenta,,992858,49.5,-119.6,Water mites
Hydrachna hesperia,,,49.5,-119.6,Water mites
Hydrachna hungerfordi,,,49.5,-119.6,Water mites
Hydrachna hutchinsoni,,,49.5,-119.6,Water mites
Hydrachna leegei,,992855,49.5,-119.6,Water mites
Hydrachna magniscutata,,,49.5,-119.6,Water mites
Hydrachna marshallae,,,49.5,-119.6,Water mites
Hydrachna microscutata,,,49.5,-119.6,Water mites
Hydrachna rotunda,,,49.5,-119.6,Water mites
Hydrachna stipata,,,49.5,-119.6,Water mites
Euthyas truncata,,296933,49.5,-119.6,Water mites
Hydryphantes ruber,,784809,49.5,-119.6,Water mites
Panisopsis setipes,,569183,49.5,-119.6,Water mites
Protzia eximia,,1006509,49.5,-119.6,Water mites
Thyopsis cancellata,,297056,49.5,-119.6,Water mites
Todothyas barbigera,,,49.5,-119.6,Water mites
Zschokkea oblonga,,297086,69.12075,-105.04645,Water mites
Atractides glandulosus,,,49.5,-119.6,Water mites
Atractides nodipalpis,,988096,67.834,-115.201,Water mites
Atractides tener,,,49.5,-119.6,Water mites
Hygrobates fluviatilis,,992933,49.5,-119.6,Water mites
Hygrobates foreli,,992932,68.545,-89.767,Water mites
Hygrobates longipalpis,,992931,49.5,-119.6,Water mites
Mesobates forcipatus,,,49.5,-119.6,Water mites
Krendowskia similis,,1136640,44.56,-76.55,Water mites
Lebertia fimbriata,,,49.5,-119.6,Water mites
Lebertia porosa,,994884,68.545,-89.767,Water mites
Lebertia quinquemaculosa,,,49.5,-119.6,Water mites
Limnesia connata,,997128,49.5,-119.6,Water mites
Limnesia fulgida,,997127,49.5,-119.6,Water mites
Limnesia maculata,,997125,49.5,-119.6,Water mites
Limnesia marshallae,,,54.647,-101.618,Water mites
Limnesia undulata,,997123,50.66,-120.5,Water mites
Mideopsis americana,,,49.5,-119.6,Water mites
Mideopsis crassipes,,1000447,49.5,-119.6,Water mites
Mideopsis orbicularis,,1000446,49.5,-119.6,Water mites
Gnaphiscus setosus,,,49.5,-119.6,Water mites
Forelia cetrata,,,49.5,-119.6,Water mites
Forelia liliacea,,991597,49.5,-119.6,Water mites
Huitfeldtia rectipes,,262282,49.5,-119.6,Water mites
Hydrochoreutes intermedius,,296960,49.5,-119.6,Water mites
Hydrochoreutes michiganensis,,262285,49.5,-119.6,Water mites
Hydrochoreutes microporus,,262286,49.5,-119.6,Water mites
Hydrochoreutes schizopetiolatus,,262287,49.5,-119.6,Water mites
Hydrochoreutes ungulatus,,262288,49.5,-119.6,Water mites
Najadicola ingens,,296994,45.24,-72.0,Water mites
Piona alpicola,,1006120,49.5,-119.6,Water mites
Piona carnea,,1110839,49.5,-119.6,Water mites
Piona clavicornis,,1006123,49.5,-119.6,Water mites
Piona conglobata,,1006125,49.5,-119.6,Water mites
Piona exilis,,,49.5,-119.6,Water mites
Piona neumani,,1006130,49.5,-119.6,Water mites
Piona nodata,,1006131,49.5,-119.6,Water mites
Piona obturbans,,1006132,49.5,-119.6,Water mites
Piona rotunda,,,49.5,-119.6,Water mites
Piona variabilis,,1006140,49.5,-119.6,Water mites
Pionacercus leuckarti,,,49.5,-119.6,Water mites
Pionopsis fragilis,,297011,49.5,-119.6,Water mites
Pionopsis latilamellis,,262356,49.5,-119.6,Water mites
Pionopsis lutescens,,262357,49.5,-119.6,Water mites
Tiphys americanus,,297057,49.5,-119.6,Water mites
Tiphys brevipes,,297058,49.5,-119.6,Water mites
Tiphys cooki,,262399,49.5,-119.6,Water mites
Tiphys diversus,,297060,49.5,-119.6,Water mites
Tiphys marshallae,,262400,49.5,-119.6,Water mites
Tiphys mitchelli,,297061,49.5,-119.6,Water mites
Tiphys oliveri,,262401,49.5,-119.6,Water mites
Tiphys ornatus,,297062,49.5,-119.6,Water mites
Tiphys scaurus,,262402,49.5,-119.6,Water mites
Tiphys simulans,,297064,49.5,-119.6,Water mites
Tiphys torris,,262403,49.5,-119.6,Water mites
Tiphys vietsi,,297066,49.5,-119.6,Water mites
Sperchon avimontis,,,49.5,-119.6,Water mites
Sperchon brevirostris,,1611296,47.05,-67.73,Water mites
Sperchon glandulosus,,263558,69.1398,-104.961,Water mites
Sperchon jasperensis,,,45.63,-78.35,Water mites
Sperchon mitchelli,,,47.05,-67.73,Water mites
Sperchon squamosus,,1110841,49.5,-119.6,Water mites
Sperchonopsis ecphyma,,262386,49.5,-119.6,Water mites
Sperchonopsis verrucosa,,297049,49.5,-119.6,Water mites
Teutonia lunata,,297053,49.5,-119.6,Water mites
Testudacarus americanus,,1095294,49.5,-119.6,Water mites
Testudacarus minimus,,1095286,54.145332,-124.47206,Water mites
Testudacarus oblongatus,,1095301,49.5,-119.6,Water mites
Testudacarus rectangulatus,,1095300,49.5,-119.6,Water mites
Testudacarus smithi,,1095297,49.5,-119.6,Water mites
Testudacarus vulgaris,,1095287,49.5,-119.6,Water mites
Torrenticola amplexa,,1018855,49.5,-119.6,Water mites
Torrenticola bittikoferae,,,49.5,-119.6,Water mites
Torrenticola delicatexa,,,49.5,-119.6,Water mites
Torrenticola ellipsoidalis,,,49.5,-119.6,Water mites
Torrenticola elusiva,,,49.5,-119.6,Water mites
Torrenticola erectirostra,,,49.5,-119.6,Water mites
Torrenticola gorti,,,49.5,-119.6,Water mites
Torrenticola indistincta,,,49.5,-119.6,Water mites
Torrenticola irapalpa,,,49.5,-119.6,Water mites
Torrenticola magnexa,,,49.5,-119.6,Water mites
Torrenticola malarkeyorum,,,49.5,-119.6,Water mites
Torrenticola mjolniri,,,49.5,-119.6,Water mites
Torrenticola multiforma,,,49.5,-119.6,Water mites
Torrenticola neoanomala,,,49.5,-119.6,Water mites
Torrenticola neoconnexa,,,49.5,-119.6,Water mites
Torrenticola nigroalba,,,49.5,-119.6,Water mites
Torrenticola occidentalis,,,49.5,-119.6,Water mites
Torrenticola olliei,,1162782,49.5,-119.6,Water mites
Torrenticola pacificensis,,,49.5,-119.6,Water mites
Torrenticola raptor,,,49.5,-119.6,Water mites
Torrenticola sellersorum,,,52.38,-114.94,Water mites
Torrenticola sierrensis,,,49.5,-119.6,Water mites
Torrenticola tahoei,,,49.5,-119.6,Water mites
Torrenticola tricolor,,,49.5,-119.6,Water mites
Torrenticola trimaculata,,,49.5,-119.6,Water mites
Torrenticola unimaculata,,,49.5,-119.6,Water mites
Torrenticola walteri,,1162783,49.5,-119.6,Water mites
Koenikea hamulata,,,49.5,-119.6,Water mites
Neumania spinipes,,1001047,49.5,-119.6,Water mites
Neumania vernalis,,1001048,49.5,-119.6,Water mites
Unionicola abnormipes,,,49.5,-119.6,Water mites
Unionicola aculeata,,297305,49.5,-119.6,Water mites
Unionicola arcuata,,,49.5,-119.6,Water mites
Unionicola crassipes,,1019131,43.469,-79.948,Water mites
Unionicola formosa,,,49.5,-119.6,Water mites
Unionicola gracilipalpis,,1019135,49.5,-119.6,Water mites
Unionicola serrata,,,49.5,-119.6,Water mites
Unionicola ypsilophora,,,44.979852,-65.806016,Water mites
Wettina podagrica,,,49.5,-119.6,Water mites
Argas cooleyi,,,49.5,-119.6,Ticks
Ornithodoros hermsi,,263523,49.5,-119.6,Ticks
Otobius lagophilus,,263530,49.146,-112.079,Ticks
Otobius megnini,spinose ear tick,263531,50.9306,-115.999,Ticks
Amblyomma imitator,,297821,49.5,-119.6,Ticks
Haemaphysalis chordeilis,Bird Tick,263541,49.5,-119.6,Ticks
Ixodes angustus,,297829,49.5,-119.6,Ticks
Ixodes auritulus,,297830,49.5,-119.6,Ticks
Ixodes banksi,,,49.77,-94.49,Ticks
Ixodes brunneus,,297832,60.07,-128.7,Ticks
Ixodes gregsoni,,,49.5,-119.6,Ticks
Ixodes hearlei,,,49.5,-119.6,Ticks
Ixodes marmotae,,,50.71,-120.39,Ticks
Ixodes ochotonae,,,50.7,-119.28333,Ticks
Ixodes rugosus,,297840,49.5,-119.6,Ticks
Ixodes sculptus,,297841,49.5,-119.6,Ticks
Ixodes signatus,,1229843,49.5,-119.6,Ticks
Ixodes soricis,,,49.5,-119.6,Ticks
Ixodes spinipalpis,,348956,49.5,-119.6,Ticks
Ixodes texanus,,297843,43.8223,-79.1897,Ticks
Acropsopilio boopis,,525694,49.5,-119.6,Harvestmen
Dendrolasma mirabilis,,,54.33731,-130.44404,Harvestmen
Leiobunum crassipalpe,,525709,49.5,-119.6,Harvestmen
Leiobunum formosum,,525622,49.5,-119.6,Harvestmen
Leiobunum vitattum,,,45.961667,-73.755492,Harvestmen
Hesperonemastoma modesta,,,49.305296,-123.138216,Harvestmen
Hemerotrecha denticulata,,221155,49.5,-119.6,Solifuges
Dactylochelifer copiosus,,878095,43.25031,-81.84074,Pseudoscorpions
Paisochelifer callus,,,61.35,-108.11,Pseudoscorpions
Dendrochernes crassus,,,49.5,-119.6,Pseudoscorpions
Hesperochernes canadensis,,172608,49.5,-119.6,Pseudoscorpions
Hesperochernes tamiae,,,49.5,-119.6,Pseudoscorpions
Lamprochernes minor,,,49.5,-119.6,Pseudoscorpions
Syarinus obscurus,,1117405,49.5,-119.6,Pseudoscorpions
Syarinus palmeni,,,49.5,-119.6,Pseudoscorpions
Agelenopsis emertoni,,212718,49.5,-119.6,Spiders
Agelenopsis naevia,Dark-legged Grass Spider,153491,49.5,-119.6,Spiders
Agelenopsis oklahoma,,212720,49.5,-119.6,Spiders
Coras aerialis,,217578,43.535,-80.21,Spiders
Coras angularis,,217579,42.264,-83.077,Spiders
