Name,Common_name,Taxon_id,Latitude,Longitude,Group
Clastoderma debaryanum,,56266,49.5,-119.6,Slime moulds
Clastoderma microcarpum,,1415734,49.5,-119.6,Slime moulds
Cribraria confusa,,382037,43.6,-79.6667,Slime moulds
Cribraria languescens,,327915,45.62,-78.5347,Slime moulds
Cribraria martinii,,,49.5,-119.6,Slime moulds
Cribraria oregana,,1104301,45.62,-78.5347,Slime moulds
Cribraria rufa,,517008,45.5278,-78.7083,Slime moulds
Cribraria tenella,,327916,49.5,-119.6,Slime moulds
Echinostelium cribrarioides,,,45.332798,-76.877167,Slime moulds
Echinostelium minutum,,327910,49.5,-119.6,Slime moulds
Elaeomyxa miyazakiensis,,,51.6522,-128.1297,Slime moulds
Licea belmontiana,,1026085,49.5,-119.6,Slime moulds
Licea tenera,,1357767,50.805,-111.685,Slime moulds
Badhamia capsulifera,,988183,49.5,-119.6,Slime moulds
Badhamia cinerascens,,,50.533333,-114.233333,Slime moulds
Badhamia goniospora,,627827,45.62,-78.5347,Slime moulds
Badhamia melanospora,,327930,49.5,-119.6,Slime moulds
Badhamia versicolor,,1025050,49.5,-119.6,Slime moulds
Badhamia viridescens,,,49.5,-119.6,Slime moulds
Physarum auriscalpium,,383654,50.75,-116.0,Slime moulds
Physarum carneum,,383655,49.5,-119.6,Slime moulds
Physarum galbeum,,510739,46.971745,-71.320155,Slime moulds
Physarum gilkeyanum,,,46.95,-80.0833,Slime moulds
Physarum luteolum,,888978,49.5,-119.6,Slime moulds
Physarum pulcherrimum,,1031582,49.5,-119.6,Slime moulds
Physarum pulcherripes,,498836,46.95,-80.0833,Slime moulds
Physarum robustum,,1569263,49.5,-119.6,Slime moulds
Physarum schroeteri,,1305384,49.5,-119.6,Slime moulds
Physarum stellatum,,327939,49.5,-119.6,Slime moulds
Physarum superbum,,715891,49.5,-119.6,Slime moulds
Physarum tenerum,,510742,49.5,-119.6,Slime moulds
Physarum tessellatum,,1604200,55.1667,-118.8,Slime moulds
Physarum vernum,,383668,49.5,-119.6,Slime moulds
Amaurochaete atra,,473694,49.5,-119.6,Slime moulds
Comatricha lurida,,,46.95,-80.0833,Slime moulds
Comatricha tenerrima,,534296,45.6144,-78.5278,Slime moulds
Stemonitis irregularis,,,60.0,-96.0,Slime moulds
Stemonitis virginiensis,,384404,49.5,-119.6,Slime moulds
Diachea bulbillosa,,908127,49.5,-119.6,Slime moulds
Diachea subsessilis,,895432,49.5,-119.6,Slime moulds
Diderma chondrioderma,,327918,49.5,-119.6,Slime moulds
Diderma cinereum,,410702,49.5,-119.6,Slime moulds
Diderma floriforme,,490987,49.5,-119.6,Slime moulds
Diderma montanum,,627960,49.5,-119.6,Slime moulds
Diderma roanense,,1592457,49.5,-119.6,Slime moulds
Didymium comatum,,1442766,49.5,-119.6,Slime moulds
Didymium megalosporum,,1263386,49.5,-119.6,Slime moulds
Didymium ochroideum,,1442770,49.5,-119.6,Slime moulds
Diacheopsis insessa,,1430364,49.5,-119.6,Slime moulds
Lamproderma muscorum,,1061477,49.5,-119.6,Slime moulds
Lamproderma robustum,,,51.0,-118.1833,Slime moulds
Macbrideola cornea,,327942,49.25,-123.1333,Slime moulds
Macbrideola scintillans,,1027264,42.95,-81.4167,Slime moulds
Paradiachea caespitosa,,874217,42.95399,-81.3323,Slime moulds
Paradiacheopsis acanthodes,,1457830,51.15,-115.6667,Slime moulds
Paradiacheopsis fimbriata,,1004994,49.5,-119.6,Slime moulds
Symphytocarpus confluens,,627969,49.5,-119.6,Slime moulds
Symphytocarpus trechispora,,,49.5,-119.6,Slime moulds
Calomyxa metallica,,344297,45.5278,-78.7083,Slime moulds
Dianema nivale,,1288404,49.5,-119.6,Slime moulds
Hemitrichia intorta,,,49.5,-119.6,Slime moulds
Hemitrichia leiocarpa,,410385,49.5,-119.6,Slime moulds
Hemitrichia pardina,,410386,45.6144,-78.5278,Slime moulds
Kelleromyxa fimicola,,501702,50.805,-111.685,Slime moulds
Metatrichia horrida,,1233229,49.5,-119.6,Slime moulds
Perichaena quadrata,,904713,43.8333,-79.6667,Slime moulds
Agaricus albolutescens,,335934,49.5,-119.6,Macrofungi
Agaricus aristocratus,,,49.5,-119.6,Macrofungi
Agaricus bohusianus,,,45.379647,-71.928262,Macrofungi
Agaricus chlamydopus,,,69.45,-133.033333,Macrofungi
Agaricus comptulus,,1031045,49.5,-119.6,Macrofungi
Agaricus cordillerensis,,1565943,49.5,-119.6,Macrofungi
Agaricus cretacellus,,,49.5,-119.6,Macrofungi
Agaricus devoniensis,Devon Agaricus,325983,49.84,-64.42,Macrofungi
Agaricus didymus,,779202,53.406782,-113.756462,Macrofungi
Agaricus discolor,,,49.5,-119.6,Macrofungi
Agaricus dulcidulus,Rosy Wood Mushroom,480763,49.5,-119.6,Macrofungi
Agaricus fabaceus,,1031051,49.5,-119.6,Macrofungi
Agaricus fibuloides,,,45.4,-72.733333,Macrofungi
Agaricus fuscofibrillosus,,428226,49.5,-119.6,Macrofungi
Agaricus halophilus,,,49.5,-119.6,Macrofungi
Agaricus osecanus,,58697,49.5,-119.6,Macrofungi
Agaricus pampeanus,,480772,45.378618,-75.722408,Macrofungi
Agaricus pattersoniae,,1159238,49.5,-119.6,Macrofungi
Agaricus perobscurus,,518758,49.5,-119.6,Macrofungi
Agaricus porphyrocephalus,,350003,49.5,-119.6,Macrofungi
Agaricus siccus,,,49.5,-119.6,Macrofungi
Agaricus subfloccosus,,480775,46.3664,-81.0636,Macrofungi
Agaricus subperonatus,,350009,49.5,-119.6,Macrofungi
Agaricus urinascens,Macro Mushroom,411042,45.4,-72.733333,Macrofungi
Arachnion album,,350110,49.5,-119.6,Macrofungi
Coprinus giganteosporus,,,48.5262,-123.4,Macrofungi
Coprinus laniger,,1021166,45.485445,-74.079213,Macrofungi
Coprinus rostrupianus,,,49.5,-119.6,Macrofungi
Coprinus spraguei,,,45.609608,-73.705867,Macrofungi
Coprinus velox,,,49.357781,-88.882828,Macrofungi
Cystoderma gruberianum,,1141157,49.5,-119.6,Macrofungi
Cystoderma intermedium,,,49.5,-119.6,Macrofungi
Cystolepiota microspora,,,54.166667,-131.666667,Macrofungi
Cystolepiota moelleri,,874977,49.5,-119.6,Macrofungi
Cystolepiota pusillomyces,,1031074,49.5,-119.6,Macrofungi
Cystolepiota sistrata,,790324,49.5,-119.6,Macrofungi
Disciseda bovista,,350687,49.5,-119.6,Macrofungi
Disciseda cervina,,350690,49.5,-119.6,Macrofungi
Disciseda subterranea,,705797,49.5,-119.6,Macrofungi
Echinoderma rubellum,,,49.5,-119.6,Macrofungi
Lepiota apatelia,,1441205,49.5,-119.6,Macrofungi
Lepiota asperula,,344529,49.5,-119.6,Macrofungi
Lepiota boudieri,girdled dapperling,803037,49.5,-119.6,Macrofungi
Lepiota clypeolarioides,,1593360,49.5,-119.6,Macrofungi
Lepiota earlei,,,48.5263,-123.422,Macrofungi
Lepiota echinella,,542717,45.429761,-72.616506,Macrofungi
Lepiota griseovirens,,500165,48.5262,-123.4,Macrofungi
Lepiota helveola,,797907,49.5,-119.6,Macrofungi
Lepiota hymenoderma,,1305178,49.5,-119.6,Macrofungi
Lepiota metulispora,,1538889,50.0,-86.0,Macrofungi
Lepiota oreadiformis,,824763,49.5,-119.6,Macrofungi
Lepiota pallida,,180515,48.5262,-123.4,Macrofungi
Lepiota pseudofelina,,1576133,49.5,-119.6,Macrofungi
Lepiota roseifolia,,1204326,49.5,-119.6,Macrofungi
Lepiota subgracilis,,875084,49.5,-119.6,Macrofungi
