Name,Common_name,Taxon_id,Latitude,Longitude,Group
Analetris eximia,,213511,50.8501,-109.1174,Mayflies
Ameletus amador,,213349,49.5,-119.6,Mayflies
Ameletus bellulus,,213351,55.0,-115.0,Mayflies
Ameletus browni,,213352,46.5833,-70.6,Mayflies
Ameletus cooki,,213354,49.5,-119.6,Mayflies
Ameletus cryptostimulus,,213355,49.5,-119.6,Mayflies
Ameletus inopinatus,Upland Summer Mayfly,213362,65.0151,-127.1332,Mayflies
Ameletus lineatus,,213363,49.5,-119.6,Mayflies
Ameletus ludens,,213364,49.5,-119.6,Mayflies
Ameletus oregonensis,,213367,49.5,-119.6,Mayflies
Ameletus pritchardi,,213368,51.05,-112.033,Mayflies
Ameletus similior,,213371,49.5,-119.6,Mayflies
Ameletus subnotatus,,213373,49.5,-119.6,Mayflies
Ameletus suffusus,,213374,49.5,-119.6,Mayflies
Ameletus tarteri,,213375,48.5833,-71.5333,Mayflies
Ameletus tertius,,213376,46.6833,-70.45,Mayflies
Ameletus validus,,213378,55.0,-115.0,Mayflies
Ameletus velox,,213380,56.3457,-123.941,Mayflies
Ameletus vernalis,,213381,54.642,-122.742,Mayflies
Ameletus walleyi,,213382,52.0,-76.0,Mayflies
Ametropus ammophilus,,213399,49.5,-119.6,Mayflies
Arthroplea bipunctata,,214363,46.4881,-70.2022,Mayflies
Acentrella insignificans,,212298,49.5,-119.6,Mayflies
Acentrella parvula,,212301,49.5,-119.6,Mayflies
Acerpenna akataleptos,,212304,49.5,-119.6,Mayflies
Acerpenna macdunnoughi,,212305,49.5,-119.6,Mayflies
Anafroptilum bifurcatum,,520236,50.55,-102.06,Mayflies
Apobaetis etowah,,213994,49.5,-119.6,Mayflies
Apobaetis futilis,,213995,49.5,-119.6,Mayflies
Baetis bundyae,,214796,49.5,-119.6,Mayflies
Baetis foemina,,214799,49.5,-119.6,Mayflies
Baetis hudsonicus,,214800,69.0906,-104.94293,Mayflies
Baetis persecutor,Galling Small Minnow Mayfly,214805,49.1,-113.95,Mayflies
Baetis phoebus,,454864,49.5,-119.6,Mayflies
Baetis pluto,,214807,49.5,-119.6,Mayflies
Baetis vernus,Medium Olive,546135,54.328,-122.669,Mayflies
Callibaetis pallidus,,215725,43.7421,-80.2237,Mayflies
Camelobaetidius warreni,,215943,49.5,-119.6,Mayflies
Fallceon quilleri,,220053,49.5,-119.6,Mayflies
Heterocloeon frivolum,,221301,49.5,-119.6,Mayflies
Iswaeon rubrolaterale,,222448,49.5,-119.6,Mayflies
Labiobaetis dardanus,,,50.83,-111.17,Mayflies
Labiobaetis ephippiatus,,524545,49.5,-119.6,Mayflies
Labiobaetis frondalis,,524547,49.5,-119.6,Mayflies
Neocloeon triangulifer,,,44.7,-78.74,Mayflies
Plauditus cingulatus,,228358,49.5,-119.6,Mayflies
Plauditus elliotti,,228360,49.5,-119.6,Mayflies
Plauditus punctiventris,,228362,46.4881,-70.2022,Mayflies
Plauditus virilis,,228365,49.5,-119.6,Mayflies
Procloeon bellum,,228743,46.5333,-70.25,Mayflies
Procloeon fragile,,228746,45.953,-66.633,Mayflies
Procloeon intermediale,,228750,49.5,-119.6,Mayflies
Procloeon mendax,,228751,67.743,-115.373,Mayflies
Procloeon ozburni,,228753,46.55,-70.1833,Mayflies
Procloeon pennulatum,Large Spurwing,228754,54.484,-122.721,Mayflies
Procloeon rivulare,,228756,45.92,-66.62,Mayflies
Procloeon rufostrigatum,,228758,49.5,-119.6,Mayflies
Procloeon simile,,228759,49.5,-119.6,Mayflies
Procloeon simplex,,228760,45.9877,-74.0053,Mayflies
Baetisca callosa,,173444,49.5,-119.6,Mayflies
Baetisca carolina,,173447,49.5,-119.6,Mayflies
Baetisca columbiana,,173446,49.5,-119.6,Mayflies
Baetisca lacustris,,214812,50.99,-109.39,Mayflies
Baetisca obesa,,214814,49.5,-119.6,Mayflies
Baetisca rubescens,,214816,46.4881,-70.2022,Mayflies
Amercaenis ridens,,213385,45.9414,-73.9694,Mayflies
Brachycercus harrisella,Large Broadwings,215379,49.53,-109.87,Mayflies
Brachycercus ojibwe,,215381,49.5,-119.6,Mayflies
Caenis candida,,215680,49.5,-119.6,Mayflies
Caenis macafferti,,215685,49.5,-119.6,Mayflies
Caenis tardata,,215687,49.5,-119.6,Mayflies
Cercobrachys cree,,216491,49.5,-119.6,Mayflies
Sparbarus flavus,Yellow Brachycercus Mayfly,231249,46.3708,-74.4122,Mayflies
Sparbarus lacustris,lacustrine small square-gilled mayfly,231250,45.9877,-74.0053,Mayflies
Susperatus prudens,,232005,52.36,-107.18,Mayflies
Attenella margarita,,214612,54.484,-122.721,Mayflies
Caudatella hystrix,,216336,49.5,-119.6,Mayflies
Dannella lita,,218130,49.5,-119.6,Mayflies
Dannella simplex,,218132,44.16,-80.16,Mayflies
Dentatella coxalis,,218237,47.822,-69.522167,Mayflies
Drunella cornuta,Large Blue-winged Olive,218764,49.5,-119.6,Mayflies
Drunella cornutella,,218765,47.333332,-64.9667,Mayflies
Drunella lata,,218769,49.5,-119.6,Mayflies
Drunella pelosa,,218770,49.5,-119.6,Mayflies
Drunella spinifera,Western Slate Olive,218771,49.5,-119.6,Mayflies
Drunella tuberculata,,218772,46.4106,-70.3492,Mayflies
Drunella walkeri,Small Blue-winged Olive,218773,49.5,-119.6,Mayflies
Ephemerella molita,,1255078,44.65781,-63.97164,Mayflies
Ephemerella mucronata,,219278,65.2811,-126.8316,Mayflies
Ephemerella tibialis,Little Western Dark Hendrickson,219281,49.5,-119.6,Mayflies
Eurylophella aestiva,,219861,49.5,-119.6,Mayflies
Eurylophella bicolor,bicolor spiny crawler mayfly,219862,46.26233,-83.55254,Mayflies
Eurylophella bicoloroides,,219863,49.5,-119.6,Mayflies
Eurylophella lodi,,219867,49.5,-119.6,Mayflies
Eurylophella lutulenta,dirty spiny crawler mayfly,219868,46.5333,-70.25,Mayflies
Eurylophella verisimilis,,219875,49.5,-119.6,Mayflies
Matriella teresa,,224474,51.5,-116.25,Mayflies
Serratella serrata,little sooty olive,230854,49.5,-119.6,Mayflies
Serratella serratoides,spot-bellied spiny crawler mayfly,230855,49.5,-119.6,Mayflies
Ephemera blanda,,219264,49.5,-119.6,Mayflies
Ephemera compar,Colorado Burrowing Mayfly,219265,49.5,-119.6,Mayflies
Cinygmula gartrelli,,217020,49.5,-119.6,Mayflies
Cinygmula kootenai,,217021,51.42,-116.42,Mayflies
Cinygmula mimus,,217022,49.5,-119.6,Mayflies
Cinygmula par,,217023,51.315647,-116.151213,Mayflies
Cinygmula ramaleyi,,217024,49.5,-119.6,Mayflies
Cinygmula tarda,,217027,51.166667,-115.55,Mayflies
Cinygmula uniformis,,217029,49.5,-119.6,Mayflies
Ecdyonurus criddlei,,218872,49.5,-119.6,Mayflies
Ecdyonurus simplicioides,,218873,49.5,-119.6,Mayflies
Epeorus dulciana,,219241,49.5,-119.6,Mayflies
Epeorus longimanus,,219247,62.28249,-136.30608,Mayflies
Epeorus permagnus,,219250,49.5,-119.6,Mayflies
Epeorus suffusus,,219254,46.6167,-70.25,Mayflies
Heptagenia whitingi,,221209,49.5,-119.6,Mayflies
Maccaffertium exiguum,,224267,43.07595,-81.79093,Mayflies
Maccaffertium smithae,,224278,45.953,-66.633,Mayflies
Nixe horrida,,225972,49.5,-119.6,Mayflies
Nixe joernensis,,454872,49.5,-119.6,Mayflies
Raptoheptagenia cruentata,predaceous flat-headed mayfly,211790,51.03,-109.12,Mayflies
Rhithrogena amica,,229908,49.5,-119.6,Mayflies
Rhithrogena brunneotincta,,229910,46.6833,-70.45,Mayflies
Rhithrogena futilis,Western Gordon Quill,229916,68.011111,-139.125,Mayflies
Rhithrogena gaspeensis,,229917,48.78062,-66.07853,Mayflies
Rhithrogena jejuna,,229921,46.45,-70.3,Mayflies
Rhithrogena undulata,,229928,47.357932,-84.637252,Mayflies
Stenacron gildersleevei,Gildersleeve's Stenacron Mayfly,231512,49.5,-119.6,Mayflies
Stenacron minnetonka,,231513,49.5,-119.6,Mayflies
Isonychia campestris,,222356,52.36,-107.18,Mayflies
Isonychia rufa,,222362,49.5,-119.6,Mayflies
Isonychia sayi,,222363,49.5,-119.6,Mayflies
Isonychia sicca,,222365,49.5,-119.6,Mayflies
Homoleptohyphes dimorphus,,221451,48.7167,-64.4,Mayflies
Tricorythodes allectus,,232931,52.0,-72.0,Mayflies
Tricorythodes cobbi,,232932,49.873333,-97.509722,Mayflies
Tricorythodes explicatus,,232934,49.5,-119.6,Mayflies
Tricorythodes mosegus,,232936,54.642,-122.742,Mayflies
Tricorythodes stygiatus,,232938,49.5,-119.6,Mayflies
Choroterpes albiannulata,,216813,49.5,-119.6,Mayflies
Choroterpes basalis,,216814,49.5,-119.6,Mayflies
Habrophlebiodes americana,,220820,46.5833,-70.1333,Mayflies
Leptophlebia bradleyi,,223492,49.5,-119.6,Mayflies
Leptophlebia intermedia,,223494,46.65,-72.96,Mayflies
Leptophlebia johnsoni,Johnson's Pronggill Mayfly,223495,46.45,-70.3,Mayflies
Paraleptophlebia aquilina,,226983,51.22,-80.7,Mayflies
Paraleptophlebia brunneipennis,,226987,49.5,-119.6,Mayflies
Paraleptophlebia gregalis,,226995,49.5,-119.6,Mayflies
Paraleptophlebia guttata,dappled prong-gilled mayfly,226996,47.29,-61.62,Mayflies
Paraleptophlebia moerens,,227003,46.6333,-70.2667,Mayflies
Paraleptophlebia ontario,,227005,45.8347,-73.8778,Mayflies
Paraleptophlebia praepedita,,227008,49.5,-119.6,Mayflies
Paraleptophlebia rufivenosa,,227010,49.5,-119.6,Mayflies
Paraleptophlebia strigula,streaky prong-gilled mayfly,227013,46.6333,-70.3667,Mayflies
Paraleptophlebia vaciva,,227017,51.1,-117.9,Mayflies
Paraleptophlebia volitans,,227018,46.83,-66.33,Mayflies
Traverella albertana,,232799,49.5,-119.6,Mayflies
Metretopus borealis,,225004,49.5,-119.6,Mayflies
Siphloplecton interlineatum,flapless cleft-footed minnow mayfly,231060,46.27263,-83.22642,Mayflies
Neoephemera bicolor,,225611,49.5,-119.6,Mayflies
Lachlania saskatchewanensis,,222577,49.5,-119.6,Mayflies
Anthopotamus verticis,Walker's Tusked Sprawler,123603,49.5,-119.6,Mayflies
Parameletus chelifer,,227039,49.5,-119.6,Mayflies
Parameletus columbiae,,227040,49.5,-119.6,Mayflies
Parameletus midas,,227042,49.5,-119.6,Mayflies
Siphlonisca aerodromia,Tomah Mayfly,211534,49.8911,-77.2558,Mayflies
Siphlonurus autumnalis,,231038,49.5,-119.6,Mayflies
Siphlonurus barbaroides,,231039,46.65,-60.42,Mayflies
Siphlonurus barbarus,,231040,49.5,-119.6,Mayflies
Siphlonurus columbianus,,231041,49.5,-119.6,Mayflies
Siphlonurus demaryi,,231043,49.5,-119.6,Mayflies
Siphlonurus mirus,,231048,46.45,-70.3167,Mayflies
Siphlonurus occidentalis,,231049,49.209,-114.536,Mayflies
Siphlonurus phyllis,,231050,49.5,-119.6,Mayflies
