Name,Common_name,Taxon_id,Latitude,Longitude,Group
Bathyneaera tillamookensis,,1207169,48.6333,-126.9667,Bivalves
Cardiomya planetica,,196180,48.47557,-125.42868,Bivalves
Cuspidaria apodema,,1207027,53.66,-133.57,Bivalves
Cuspidaria arctica,,1207074,71.039,-133.452,Bivalves
Cuspidaria cowani,,1207008,52.5,-131.91,Bivalves
Cuspidaria pellucida,,1207070,43.3781,-64.52043,Bivalves
Cuspidaria subtorta,,1207067,70.93,-133.56,Bivalves
Lyonsiella abyssicola,,1206846,69.8579,-118.7365,Bivalves
Lyonsiella quaylei,,1206834,50.89,-127.471667,Bivalves
Lyonsia bracteata,,1118981,54.3,-131.46,Bivalves
Pandora inornata,,906404,45.049999,-66.8167,Bivalves
Pandora wardiana,,906421,48.59897,-125.28481,Bivalves
Periploma aleuticum,Aleutian spoonclam,1134891,69.6968,-123.4351,Bivalves
Periploma fragile,,791748,49.229917,-68.069667,Bivalves
Periploma papyratium,,521207,45.09693,-74.79677,Bivalves
Cetomya malespinae,,1206704,52.97,-133.06,Bivalves
Dermatomya tenuiconcha,,1206702,48.367933,-126.21675,Bivalves
Thracia challisiana,,1206758,54.2,-132.9,Bivalves
Thracia condoni,,1206755,48.8267,-125.23,Bivalves
Thracia curta,Short Thracia,508047,48.5333,-125.0333,Bivalves
Thracia devexa,,1206763,48.95,-123.6333,Bivalves
Thracia septentrionalis,,1206761,71.246,-123.479,Bivalves
Thracia trapezoides,,957343,49.8317,-126.9883,Bivalves
Halicardia flexuosa,,1206926,62.495759,-60.146484,Bivalves
Halicardia perplicata,,196285,52.52275,-131.694783,Bivalves
Bathyarca frielei,Boreal bathyark,1211210,70.561167,-122.910833,Bivalves
Limopsis akutanica,,1211093,54.1,-132.51,Bivalves
Philobrya setosa,,1211000,51.6648,-128.13513,Bivalves
Goethemia elegantula,,,67.7067,-55.7633,Bivalves
Keenaea centifilosa,,962184,48.407017,-125.30374,Bivalves
Keenocardium californiense,Aleutian Cockle,940601,54.07,-131.39,Bivalves
Abra californica,,1207522,51.083333,-132.366667,Bivalves
Ameritella carpenteri,Carpenter Tellin,1408755,52.49,-131.4,Bivalves
Macoma carlottensis,Charlotte Macoma,957354,49.433333,-124.783333,Bivalves
Macoma crassula,,1207729,48.2067,-69.4817,Bivalves
Macoma elimata,,1207697,52.454333,-131.406667,Bivalves
Macoma golikovi,,1207702,49.283,-123.15,Bivalves
Macoma lama,,1207705,70.6861,-128.839,Bivalves
Macoma loveni,Inflated macoma,1207718,70.58,-132.372,Bivalves
Macoma moesta,Flat macoma,1207725,48.771667,-123.076667,Bivalves
Macoma torelli,Triangular Macoma,1207717,70.5448,-127.7288,Bivalves
Astarte compacta,Compact Astarte,1209945,52.0948,-131.204189,Bivalves
Astarte crenata,Crenulate Astarte,253432,49.118833,-68.036167,Bivalves
Astarte esquimalti,Wavy-Line Astarte,1209944,52.49,-131.4,Bivalves
Astarte warhami,,,45.52909,-56.67363,Bivalves
Cyclocardia crebricostata,Many-Rib Cyclocardia,1209979,52.49,-131.4,Bivalves
Miodontiscus prolongatus,Elongate Carditid,1126299,52.601667,-131.4735,Bivalves
Saxicavella pacifica,,1206534,49.8317,-126.9883,Bivalves
Boreacola maltzani,,1208852,69.349998,-138.720001,Bivalves
Kelliopsis elevata,,1435294,45.5833,-61.3833,Bivalves
Kurtiella tumidula,,339161,70.3,-135.17,Bivalves
Neaeromya compressa,,1208795,52.794166,-128.321265,Bivalves
Waldo arthuri,,1208812,48.824955,-125.172326,Bivalves
Limatula attenuata,,1210849,49.333333,-123.841667,Bivalves
Limatula hyperborea,Arctic fileclam,1210857,61.92,-67.53,Bivalves
Limatula saturna,,1210830,50.428333,-129.183333,Bivalves
Limatula subauriculata,Elliptical File-shell,254451,70.687,-126.826,Bivalves
Limatula subovata,Subovate File Clam,1210864,60.0481,-67.7631,Bivalves
Limatula vancouverensis,,1210829,50.938333,-130.2,Bivalves
Adontorhina sphaericosa,,1208324,48.73,-123.341667,Bivalves
Ascetoaxinus quatsinoensis,,1208316,50.258033,-128.44,Bivalves
Mendicula ferruginosa,,483019,52.01,-131.26,Bivalves
Mendicula pygmaea,,1208293,47.6667,-47.5917,Bivalves
Parathyasira dunbari,,1208341,71.6413,-130.571,Bivalves
Thyasira flexuosa,Common Furrow-shell,483017,71.3701,-117.4787,Bivalves
