Name,Common_name,Taxon_id,Latitude,Longitude,Group
Prosuberites saanichensis,,,55.445,-130.018,Sponges
Hyalonema ovuliferum,,,49.5,-119.6,Sponges
Auletta krautteri,,,52.44,-129.667,Sponges
Axinella arctica,Arctic Horny Sponge,459691,67.9677,-59.4844,Sponges
Phakellia ventilabrum,,459807,55.5911,-77.2585,Sponges
Halicnemia patera,,459754,49.5,-119.6,Sponges
Leuconia usa,,459803,68.4167,-77,Sponges
Leucopsila stilifera,,,49.5,-119.6,Sponges
Biemna variantia,,459727,49.5,-119.6,Sponges
Halisarca dujardinii,Yellow Gelatine Sponge,459707,44.48522,-63.53436,Sponges
Clathrina cancellata,Lattice Calcareous Sponge,459723,45.4833,-55.4,Sponges
Cliona argus,,1338575,50.491667,-127.791667,Sponges
Cliona lobata,Lobate Boring Horny Sponge,459724,45.1627,-64.346388,Sponges
Pione gibraltarensis,,,48.912833,-125.255833,Sponges
Pione vastifica,Red Boring Sponge,256043,49.5,-119.6,Sponges
Aplysilla polyraphis,Purple Slippery Sponge,213993,49.01283,-123.584794,Sponges
Spongionella pulchella,,459814,49.5,-119.6,Sponges
Desmacella annexa,,459734,43.691,-65.085,Sponges
Dysidea fragilis,Goosebump Sponge,131694,51.904732,-128.48108,Sponges
Cladocroce ventilabrum,,459728,57.909722,-59.821389,Sponges
Haliclona canaliculata,,459700,45.03,-66.93,Sponges
Haliclona flagellifera,,459750,45.03,-66.88,Sponges
Haliclona gellindra,,459779,52.09,-131.22,Sponges
Haliclona gracilis,Gracile Demosponge,459751,48.816667,-125.2,Sponges
Haliclona laurentina,,459752,47.25,-60.183333,Sponges
Amphimedon trindanea,Trinda's Sponge,424809,48.816667,-123.233333,Sponges
Haliclona porosa,,,76.317,-75.7709,Sponges
Hemigellius arcofer,,459852,49.779147,-60.242845,Sponges
Haliclona edaphus,Elephant Ear Sponge,1484377,49.816667,-127.643333,Sponges
Xestospongia dubia,,347290,49.5,-119.6,Sponges
Xestospongia hispida,,873856,49.00942,-123.58796,Sponges
Farrea occa,,459739,49.5,-119.6,Sponges
Oscarella carmela,,424832,49.5,-119.6,Sponges
Plakina monolopha,,459808,49.5,-119.6,Sponges
Grantia canadensis,,459744,49.5,-119.6,Sponges
Grantia comoxensis,,459746,49.5,-119.6,Sponges
Leucandra ananas,,459867,49.5,-119.6,Sponges
Leucandra pyriformis,,459851,49.683333,-124.866667,Sponges
Leucandra taylori,,459850,52.15,-131.06,Sponges
Sycandra utriculus,,459827,49.851667,-126.715,Sponges
Heteropia rodgeri,,459855,49.5,-119.6,Sponges
Sycettusa thompsoni,,459831,49.5,-119.6,Sponges
Sycon compactum,,459704,48.423333,-123.384167,Sponges
Sycon lambei,,459763,63.5619,-68.2357,Sponges
Sycon lingua,,459764,49.5,-119.6,Sponges
Sycon mundulum,,459765,52.15,-131.06,Sponges
Sycon protectum,,459766,49.5,-119.6,Sponges
Asconema foliatum,,459716,49.5,-119.6,Sponges
Bathydorus laevis,,1338579,49.5,-119.6,Sponges
Doconesthes dustinchiversi,,1610247,49.5,-119.6,Sponges
Vazella pourtalesii,,459721,49.5,-119.6,Sponges
Hamacantha falcula,,1338582,45.346,-60.99,Sponges
Iophon nigricans,,459863,44.48522,-63.53436,Sponges
Wigginsia wigginsi,,459688,54.2,-132.89,Sponges
Asbestopluma biserialis,,459710,49.5,-119.6,Sponges
Asbestopluma pennatula,,459715,46.2917,-50.7,Sponges
Chondrocladia grandis,,,72.8367,-77.5941,Sponges
Cladorhiza abyssicola,,459730,49.5,-119.6,Sponges
Cladorhiza caillieti,,,47.956856,-129.08485,Sponges
Cladorhiza oxeata,,1338587,62.9539,-67.1393,Sponges
Forcepia brunnea,,1338583,49.5,-119.6,Sponges
Forcepia fabricans,,1338584,62.9539,-67.1393,Sponges
Forcepia forcipula,,1338586,49.5,-119.6,Sponges
Lissodendoryx complicata,,1338589,49.5,-119.6,Sponges
Lissodendoryx diversichela,,1338590,65.283333,-64.283333,Sponges
Lissodendoryx indistincta,,459758,48.746917,-68.875333,Sponges
Lissodendoryx lundbecki,,1338591,72.8322,-77.602,Sponges
Monanchora alaskensis,,459761,52.15,-131.06,Sponges
Monanchora pulchra,,459762,49.5,-119.6,Sponges
Crella pyrula,,459733,67.9677,-59.4844,Sponges
Crella rosea,Rosy Horny Sponge,337989,45.03,-66.93,Sponges
Amphilectus laxus,Loose Horny Sponge,459875,48.75,-123.549167,Sponges
Amphilectus ovulum,,,49.5,-119.6,Sponges
Esperiopsis villosa,,1338598,53.467,-127.858,Sponges
Isodictya histodermella,,459865,66.72,-80.12,Sponges
Isodictya vancouverensis,,459879,49.5,-119.6,Sponges
Antho graceae,,459794,48.816667,-125.2,Sponges
Artemisina apollinis,,459708,49.5,-119.6,Sponges
Artemisina arcigera,,1338599,49.9445,-65.7805,Sponges
Clathria asodes,,256056,49.5,-119.6,Sponges
Clathria brepha,,459795,51.667057,-128.13392,Sponges
Clathria laevigata,,459876,49.5,-119.6,Sponges
Clathria originalis,,63670,48.866667,-125.35,Sponges
Clathria primitiva,,459796,53.15,-130.84,Sponges
Clathria schmitti,,459797,66.77,-79.25,Sponges
Mycale arctica,,1338600,49.5,-119.6,Sponges
Mycale bamfieldensis,,459849,48.821667,-125.218333,Sponges
Mycale hispida,,459818,50.630556,-127.158333,Sponges
Mycale macginitiei,,459821,52.1,-131.21,Sponges
Mycale richardsoni,,459822,50.8575,-127.645,Sponges
Ectyonopsis hartmani,,459799,49.5,-119.6,Sponges
Myxilla acribria,,,68.4167,-77,Sponges
Myxilla behringensis,,459824,49.5,-119.6,Sponges
Myxilla brunnea,,,49.5,-119.6,Sponges
Plocamiancora igzo,,459809,52.1,-131.23,Sponges
Tedania fragilis,,459718,48.45,-123.266667,Sponges
Tedania gurjanovae,,459767,52.1,-131.21,Sponges
Polymastia andrica,,459703,49.5,-119.6,Sponges
Polymastia grimaldii,,1121096,49.5,-119.6,Sponges
Polymastia hemisphaerica,Hemispherical Round Sponge,1154283,49.5,-119.6,Sponges
Polymastia mamillaris,White Tit-sponge,459836,49.5,-119.6,Sponges
Polymastia piscesae,,,55.281667,-129.806667,Sponges
Polymastia thielei,,1369204,49.5,-119.6,Sponges
Polymastia uberrima,,1434371,49.5,-119.6,Sponges
Quasillina brevis,,459705,49.5,-119.6,Sponges
Radiella endeavourensis,,,47.7,-129.2167,Sponges
Radiella sol,Sunshine Round Sponge,459784,41.7833,-65.625,Sponges
Sphaerotylus borealis,,,49.5,-119.6,Sponges
Sphaerotylus verenae,,,47.96,-129.106667,Sponges
Spinularia sarsii,,1154284,49.5,-119.6,Sponges
Trachyteleia hispida,,459719,49.643333,-64.815278,Sponges
Weberella bursa,,794933,60.778611,-63.953333,Sponges
Chonelasma oreia,,886906,53.50694,-136.02975,Sponges
Corvomeyenia everetti,Mount Everett Pond Sponge,217621,48.4167,-54.05,Sponges
Anheteromeyenia argyrosperma,,213623,47,-80.05,Sponges
Duosclera mackayi,,218792,45.4,-66.166667,Sponges
Ephydatia fluviatilis,River Sponge,459737,44.628,-64.0592,Sponges
Heteromeyenia baileyi,,221331,44.3615,-64.333,Sponges
Heteromeyenia tubisperma,,221334,49.5,-119.6,Sponges
Pottsiela aspinosa,Smooth Branched Sponge,1592928,49.5,-119.6,Sponges
Racekiela ryderii,,,47.65,-66.45,Sponges
Radiospongilla crateriformis,,459812,49.5,-119.6,Sponges
Trochospongilla horrida,River Rock Sponge,233039,49.5,-119.6,Sponges
Trochospongilla pennsylvanica,,233040,44.628,-64.0592,Sponges
Ciocalypta penicillus,Brush Sponge,337977,49.5,-119.6,Sponges
Halichondria genitrix,,459748,49.5,-119.6,Sponges
Halichondria lambei,,459742,75.9,-81.016667,Sponges
Hymeniacidon heliophila,,363663,49.5,-119.6,Sponges
Hymeniacidon ungodon,,337275,51.904732,-128.48108,Sponges
Topsentia disparilis,,459690,52.43,-129.69,Sponges
Topsentia fibrosa,,459776,50.588017,-126.8336,Sponges
Stylocordyla borealis,,459844,71.06155,-124.642747,Sponges
Tethya norvegica,,1555529,60.47,-61.2927,Sponges
Stelletta normani,,,49.5,-119.6,Sponges
Stelletta rhaphidiophora,,,49.5,-119.6,Sponges
Stelletta validissima,,459839,49.5,-119.6,Sponges
Stryphnus fortis,,,49.5,-119.6,Sponges
Stryphnus ponderosus,,459842,49.5,-119.6,Sponges
Geodia agassizii,,,49.5,-119.6,Sponges
Geodia atlantica,,,49.5,-119.6,Sponges
Geodia barretti,Barrett's Horny Sponge,459743,43.9004,-58.9406,Sponges
Geodia carolae,,,52.43,-129.7,Sponges
Geodia hentscheli,,872144,66.713889,-58.618889,Sponges
Geodia macandrewii,,,61.4448,-60.6524,Sponges
Geodia phlegraei,,1427701,49.5,-119.6,Sponges
Craniella arb,Gray Puffball Sponge,255152,49.5,-119.6,Sponges
Thenea abyssorum,Deep-sea Demosponge,459772,49.5,-119.6,Sponges
Thenea muricata,,459774,69.659167,-120.585416,Sponges
Actinernus nobilis,,459901,52.07975,-131.5302,Corals
Bolocera maxima,Greater Sea Anemone,459988,49.5,-119.6,Corals
Bolocera tuediae,Deeplet Anemone,459990,58.438486,-59.841126,Corals
Actinostola groenlandica,Greenland Sea Anemone,459906,49.5,-119.6,Corals
Anthosactis janmayeni,Jan Mayen Sea Anemone,459895,49.5,-119.6,Corals
Amphianthus margaritaceus,,459967,69.830002,-61.52,Corals
Edwardsia andresi,,459918,49.5,-119.6,Corals
Allantactis parasitica,Allantactis Sea Anemone,459899,70.979004,-134.813418,Corals
Hormathia digitata,,460076,70.251143,-134.050663,Corals
Kadosactis rosea,,460023,69.830002,-61.619999,Corals
Liponema multicorne,,460120,56.62616,-60.076166,Corals
Acanthogorgia armata,Armoured Sea Fan Coral,459888,49.5,-119.6,Corals
Calcigorgia beringi,,460128,49.5,-119.6,Corals
Alcyonium digitatum,Dead Man's Fingers,363877,49.5,-119.6,Corals
Anthomastus agassizii,,459969,41.31089,-66.04834,Corals
Anthomastus grandiflorus,,459971,44.241,-57.908167,Corals
Heteropolypus ritteri,,460126,49.5,-119.6,Corals
Anthothela grandiflora,,459973,43.90035,-58.94061,Corals
Chrysogorgia agassizii,,460033,46.129333,-58.656,Corals
Radicipes gracilis,,460007,49.5,-119.6,Corals
Clavularia alba,,459908,49.5,-119.6,Corals
Clavularia arctica,,459909,49.5,-119.6,Corals
Clavularia borealis,,459910,51.133335,-49.6667,Corals
