Name,Common_name,Taxon_id,Latitude,Longitude,Group
Sagittaria montevidensis,Aztec arrowhead,1506725,49.5,-119.6,Vascular plants
Elodea bifoliata,two-leaf waterweed,76792,49.5,-119.6,Vascular plants
Angelica venenosa,hairy angelica,158382,49.5,-119.6,Vascular plants
Thaspium barbinode,Hairy-jointed Meadow-parsnip,169669,42.216644,-81.918091,Vascular plants
Panax quinquefolius,American ginseng,116333,45.387562,-75.814316,Vascular plants
Sisyrinchium fuscatum,Coastal Plain Blue-eyed Grass,169019,49.5,-119.6,Vascular plants
Platanthera ciliaris,orange-fringed orchid,167016,49.5,-119.6,Vascular plants
Artemisia comata,,,49.5,-119.6,Vascular plants
Ericameria bloomeri,Bloomer's goldenbush,76879,49.012056,-118.908194,Vascular plants
Erigeron alpiniformis,Alpine Fleabane,162443,49.5,-119.6,Vascular plants
Erigeron leibergii,Leiberg's Fleabane,162496,49.076389,-120.179167,Vascular plants
Erigeron muirii,Muir's Fleabane,162504,49.5,-119.6,Vascular plants
Helianthus occidentalis,fewleaf sunflower,163623,49.5,-119.6,Vascular plants
Lactuca ludoviciana,Western Lettuce,53111,49.854556,-115.643056,Vascular plants
Lasthenia glaberrima,smooth goldfields,60137,49.5,-119.6,Vascular plants
Senecio hydrophilus,water ragwort,64165,49.5,-119.6,Vascular plants
Solidago jejunifolia,long-petioled showy goldenrod,1147345,49.207167,-96.943194,Vascular plants
Symphyotrichum hendersonii,Henderson's aster,79300,49.029167,-116.930278,Vascular plants
Downingia elegans,Californian Lobelia,76681,49.156667,-116.6275,Vascular plants
Amsinckia lycopsoides,tarweed fiddleneck,58048,49.386472,-119.583056,Vascular plants
Andersonglossum virginianum,wild comfrey,769248,46.263451,-83.846946,Vascular plants
Cryptantha watsonii,Watson's Cryptantha,76535,49.233333,-119.8,Vascular plants
Eritrichium arctisibiricum,,769769,69.16464,-140.17076,Vascular plants
Eritrichium grandiflorum,,769788,67.003611,-140.849107,Vascular plants
Hackelia ciliata,Okanogan Stickseed,163486,49.074118,-119.009417,Vascular plants
Lappula diploloma,,770250,50.533333,-121.283333,Vascular plants
Arabis adpressipilis,,,42.297521,-81.845153,Vascular plants
Boechera cascadensis,Littleleaf Rockcress,359612,49.234175,-120.181917,Vascular plants
Boechera macounii,Macoun's rockcress,359543,55.627483,-121.816567,Vascular plants
Boechera polyantha,many-flowered rockcress,359639,49.629556,-119.599611,Vascular plants
Braya linearis,Narrow-fruit Rockcress,359649,49.5,-119.6,Vascular plants
Cardamine occidentalis,Western Bittercress,76003,49.5,-119.6,Vascular plants
Descurainia nelsonii,Nelson's Tansymustard,76645,49.693889,-115.6875,Vascular plants
Draba arctogena,Fell-field Whitlow-grass,162004,49.5,-119.6,Vascular plants
Draba bennettii,Bennett's Draba,453720,60.627242,-137.926758,Vascular plants
Draba caswellii,Caswell's Draba,453721,49.5,-119.6,Vascular plants
Draba chamissonis,Cape Thompson Whitlow-grass,162013,53.266667,-132.233333,Vascular plants
Draba franktonii,Frankton's Draba,458743,49.5,-119.6,Vascular plants
Draba kluanei,Kluane Draba,162035,49.5,-119.6,Vascular plants
Draba murrayi,Murray's Whitlow-grass,162043,65.0,-141.0,Vascular plants
Draba puvirnituqii,Puvirnituq Mountain Draba,458953,49.5,-119.6,Vascular plants
Draba ruaxes,coast mountain draba,162061,49.5,-119.6,Vascular plants
Draba thompsonii,Thompson's draba,458744,59.005278,-125.5025,Vascular plants
Rorippa alpina,alpine yellowcress,167956,49.22211,-121.92245,Vascular plants
Rorippa calycina,Persistent-sepal Yellowcress,167959,49.5,-119.6,Vascular plants
Rorippa tenerrima,Slender Yellow-cress,54675,49.179444,-119.589722,Vascular plants
Thelypodium milleflorum,many-flowered thelypodium,79352,49.619361,-119.606111,Vascular plants
Atriplex nudicaulis,Baltic Saltbush,159082,49.5,-119.6,Vascular plants
Chenopodium hians,gaping goosefoot,76276,49.5,-119.6,Vascular plants
Chenopodium nitens,,607145,49.5,-119.6,Vascular plants
