Name,Common_name,Taxon_id,Latitude,Longitude,Group
Albula vulpes,Bonefish,63718,41.083332,-58.9667,Fishes
Amia calva,Ruddy Bowfin,58611,43.635821,-79.462844,Fishes
Chlopsis bicolor,Atlantic Bicolored False Moray,131417,49.5,-119.6,Fishes
Kaupichthys hyoproroides,Gray Reef False Moray,131416,39.9833,-65.6,Fishes
Ariosoma anale,Longtrunk Conger,450440,45.0,-66.0,Fishes
Ariosoma balearicum,Bandtooth Conger,120641,42.43333,-61.5,Fishes
Conger oceanicus,American Conger,131408,49.5,-119.6,Fishes
Heteroconger luteolus,Yellow Garden Eel,129565,49.5,-119.6,Fishes
Paraconger caudilimbatus,Margintail Conger,131405,49.5,-119.6,Fishes
Rhynchoconger flavus,,131407,42.0703,-65.9567,Fishes
Uroconger syringinus,Threadtail Conger,179443,49.5,-119.6,Fishes
Xenomystax atrarius,Twinpored Eel,194824,48.7967,-126.542,Fishes
Derichthys serpentinus,Serpent eel,99206,49.5,-119.6,Fishes
Nessorhamphus ingolfianus,spoonbill eel,54722,49.5,-119.6,Fishes
Moringua edwardsi,Edwards' Spaghetti Eel,106155,41.25,-57.46667,Fishes
Neoconger mucronatus,Ridged Spaghetti Eel,317246,42.1333,-65.5167,Fishes
Anarchias similis,Pygmy Moray,131390,41.25,-57.46667,Fishes
Avocettina infans,Closespine Snipe Eel,214689,53.3238,-133.2457,Fishes
Labichthys carinatus,,459356,43.815833,-58.8889,Fishes
Nemichthys curvirostris,Boxer Snipe Eel,54033,49.5,-119.6,Fishes
Nemichthys larseni,Pale Snipe Eel,317242,49.5,-119.6,Fishes
Nemichthys scolopaceus,Polygon-spotted snipe eel,67619,49.957202,-66.455301,Fishes
Venefica ocella,,459393,42.910667,-62.0905,Fishes
Venefica procera,,459394,42.910667,-62.0905,Fishes
Venefica tentaculata,,114934,49.5,-119.6,Fishes
Ahlia egmontis,Key Worm Eel,127647,49.5,-119.6,Fishes
Apterichtus ansp,Academy Eel,316958,42.349998,-65.0167,Fishes
Apterichtus kendalli,Western Atlantic Finless Eel,94473,49.5,-119.6,Fishes
Callechelys muraena,Blotched Snake Eel,317020,49.5,-119.6,Fishes
Gordiichthys leibyi,String Eel,220540,46.075,-61.50667,Fishes
Myrophis platyrhynchus,Broadnose Worm Eel,317234,40.7,-65.005,Fishes
Myrophis punctatus,Speckled Worm Eel,179538,49.5,-119.6,Fishes
Ophichthus cruentifer,Margined Snake Eel,317257,49.5,-119.6,Fishes
Ophichthus gomesii,Shrimp Eel,84530,49.5,-119.6,Fishes
Ophichthus puncticeps,Palespotted Eel,226501,41.351665,-66.2417,Fishes
Serrivomer beanii,Stout Sawpalate,459451,62.416111,-60.554167,Fishes
Serrivomer jesperseni,Crossthroat Sawpalate,230857,49.5,-119.6,Fishes
Serrivomer lanceolatoides,Short-tooth Sawpalate,112505,49.5,-119.6,Fishes
Ilyophis brunneus,Muddy Cutthroat Eel,459354,42.628333,-62.011333,Fishes
Simenchelys parasitica,Pugnose Eel,112583,42.845,-61.986667,Fishes
Synaphobranchus affinis,Grey Cutthroat Eel,113563,49.5,-119.6,Fishes
Synaphobranchus brevidorsalis,Shortdorsal Cutthroat Eel,621408,49.5,-119.6,Fishes
Synaphobranchus kaupii,Northern Cutthroat Eel,113564,62.375,-60.518611,Fishes
Argentina sialis,Pacific Argentine,94533,49.09348,-126.41689,Fishes
Argentina silus,Atlantic Argentine,318007,44.230876,-66.223898,Fishes
Argentina striata,Striated Argentine,316963,43.116665,-62.3667,Fishes
Glossanodon leioglossus,,120616,41.349998,-59.0,Fishes
Bathylagichthys greyae,Grey's Deepsea Smelt,459275,49.5,-119.6,Fishes
Bathylagus euryops,Goiter Blacksmelt,459177,56.475,-58.26167,Fishes
Bathylagus pacificus,Slender Blacksmelt,214887,48.3975,-127.996117,Fishes
Dolicholagus longirostris,Longsnout Deepsea Smelt,317506,43.703889,-58.7069,Fishes
Leuroglossus stilbius,California Smoothtongue,223606,49.5,-119.6,Fishes
Lipolagus ochotensis,Fatty Deepsea Smelt,223925,48.4006,-127.996148,Fishes
Melanolagus bericoides,Bigscale Deepsea Smelt,317215,49.5,-119.6,Fishes
Pseudobathylagus milleri,Stout Blacksmelt,110941,49.5,-119.6,Fishes
Nansenia candida,Bluethroat Argentine,225456,48.90813,-125.14042,Fishes
Nansenia groenlandica,Large-eyed Argentine,459426,43.237778,-59.0006,Fishes
Nansenia oblita,,459427,49.5,-119.6,Fishes
Bathylychnops exilis,Javelin Spookfish,214888,49.5,-119.6,Fishes
Dolichopteroides binocularis,,618794,41.7333,-57.6333,Fishes
Macropinna microstoma,Pacific Barreleye,49886,48.445691,-126.333915,Fishes
Atherinops affinis,Topsmelt Silverside,94801,49.5,-119.6,Fishes
Alepisaurus brevirostris,Shortnose Lancetfish,450435,49.5,-119.6,Fishes
Anotopterus nikparini,North Pacific Daggertooth,213733,53.394184,-136.963312,Fishes
Anotopterus pharao,Daggertooth,213734,49.5,-119.6,Fishes
Bathysaurus ferox,Deepsea Lizardfish,459301,42.839,-62.37,Fishes
Chlorophthalmus agassizi,Shortnose Greeneye,120612,42.231833,-65.895,Fishes
Parasudis truculenta,Longnose Greeneye,317279,42.516,-65.012667,Fishes
Coccorella atlantica,Atlantic Sabretooth,317059,41.0,-61.5,Fishes
Evermannella balbo,Balbo Sabretooth,459382,49.5,-119.6,Fishes
Evermannella melanoderma,,459384,42.5,-61.5,Fishes
Bathypterois dubius,Spiderfish,95485,49.5,-119.6,Fishes
Bathypterois phenax,Blackfin Spiderfish,459350,49.5,-119.6,Fishes
Bathypterois quadrifilis,,459351,49.5,-119.6,Fishes
Bathypterois viridensis,,615570,49.5,-119.6,Fishes
Bathytyphlops marionae,Marion's Spiderfish,459339,49.5,-119.6,Fishes
Ahliesaurus berryi,,316928,41.150002,-59.0,Fishes
Scopelosaurus adleri,,618288,53.1914,-132.999083,Fishes
Scopelosaurus argenteus,,459448,40.7,-65.005,Fishes
Scopelosaurus lepidus,Blackfin waryfish,459449,62.103889,-60.523611,Fishes
Scopelosaurus mauli,Maul's Waryfish,317354,41.53333,-59.0,Fishes
Scopelosaurus smithii,,459450,49.5,-119.6,Fishes
Omosudis lowii,Hammerjaw,459428,42.723,-62.7815,Fishes
Lestidiops affinis,Barracudina,317187,45.8348,-63.125,Fishes
Lestidiops jayakari,Pacific Barracudina,317188,49.5,-119.6,Fishes
Lestidiops ringens,Slender Barracudina,104468,49.5,-119.6,Fishes
Magnisudis atlantica,Duckbill Barracudina,224382,42.662167,-62.368333,Fishes
Paralepis brevirostris,,459299,43.216667,-59.0,Fishes
Paralepis coregonoides,Sharpchin barracudina,317277,43.713,-58.736,Fishes
Paralepis elongata,,459300,43.1215,-61.001667,Fishes
Stemonosudis intermedia,,317390,41.53333,-59.0,Fishes
Sudis hyalina,Pale Pike Smelt,317398,42.966667,-59.0,Fishes
Uncisudis advena,,459396,41.066667,-61.6167,Fishes
Benthalbella dentata,Northern Pearleye,215148,53.3386,-132.9836,Fishes
Benthalbella infans,Childish Pearleye,316998,49.5,-119.6,Fishes
Benthalbella linguidens,Longfin Pearleye,215149,49.5,-119.6,Fishes
Scopelarchus analis,Shortfin Pearleye,317349,41.349998,-59.0,Fishes
Scopelarchus michaelsarsi,Bigfin Pearleye,317351,49.5,-119.6,Fishes
Saurida brasiliensis,Largescale Lizardfish,131422,42.628333,-62.011333,Fishes
Saurida caribbaea,Shortjaw Lizardfish,131424,49.5,-119.6,Fishes
Synodus foetens,Inshore Lizardfish,54440,49.5,-119.6,Fishes
Synodus lucioceps,California Lizardfish,113700,49.5,-119.6,Fishes
Synodus synodus,Red Lizardfish,131428,41.31667,-59.0,Fishes
Trachinocephalus myops,Snakefish,131430,42.433334,-61.5,Fishes
Opsanus tau,Oyster Toadfish,51372,49.5,-119.6,Fishes
Cheilopogon furcatus,Spotfin Flyingfish,194832,49.5,-119.6,Fishes
Cheilopogon melanurus,Atlantic Flyingfish,317047,44.5667,-64.0333,Fishes
Hirundichthys affinis,Fourwing Flyingfish,120656,49.5,-119.6,Fishes
Hirundichthys rondeletii,Blackwing Flyingfish,102883,44.45,-63.7842,Fishes
Hemiramphus brasiliensis,Ballyhoo,179572,49.5,-119.6,Fishes
Hyporhamphus meeki,American Halfbeak,179554,49.5,-119.6,Fishes
Anoplogaster cornuta,Fangtooth,213729,49.5,-119.6,Fishes
Beryx decadactylus,Imperador,215166,49.5,-119.6,Fishes
Beryx splendens,Alfonsino,459205,41.0,-58.9667,Fishes
Diretmichthys parini,Black Spinyfin,459378,49.5,-119.6,Fishes
Diretmus argenteus,Discfish,317083,49.5,-119.6,Fishes
Neoniphon vexillarium,Dusky Squirrelfish,1316833,49.5,-119.6,Fishes
Ostichthys trachypoma,Bigeye Soldierfish,450439,49.5,-119.6,Fishes
Sargocentron bullisi,Deepwater Squirrelfish,147129,49.5,-119.6,Fishes
Gephyroberyx darwinii,Darwin's Roughy,220369,49.5,-119.6,Fishes
Hoplostethus atlanticus,Orange Roughy,459402,62.394114,-62.431641,Fishes
Hoplostethus mediterraneus,Blacktip Sawbelly,120620,48.4495,-61.6,Fishes
Hoplostethus occidentalis,Atlantic Roughy,459403,49.5,-119.6,Fishes
Carcharhinus limbatus,Common Blacktip Shark,55529,49.5,-119.6,Fishes
Carcharhinus longimanus,Oceanic Whitetip Shark,96760,49.5,-119.6,Fishes
Carcharhinus obscurus,Dusky Shark,96762,49.5,-119.6,Fishes
Galeocerdo cuvier,Tiger Shark,52299,49.5,-119.6,Fishes
Apristurus laurussonii,Flathead Catshark,94451,49.5,-119.6,Fishes
Apristurus manis,Ghost Catshark,94455,49.5,-119.6,Fishes
Apristurus melanoasper,Fleshynose Catshark,94456,42.88333,-61.71667,Fishes
Apristurus microps,Smalleye Catshark,94457,62.200938,-59.726817,Fishes
Apristurus profundorum,Deepwater Catshark,94463,42.6825,-64.165167,Fishes
Apristurus riveri,Broadgill Catshark,94464,49.5,-119.6,Fishes
Scyliorhinus retifer,Chain Catshark,112380,41.295,-66.221667,Fishes
Sphyrna zygaena,Smooth Hammerhead,56765,44.979852,-65.806016,Fishes
Mustelus canis,Dusky Smooth-hound,49961,44.79,-54.47,Fishes
Barbourisia rufa,Redvelvet Whalefish,214859,49.5,-119.6,Fishes
Cetostoma regani,Pink Flabby Whalefish,459341,43.421389,-59.4672,Fishes
Gyrinomimus grahami,Graham's Flabby Whalefish,610000,50.05,-128.15,Fishes
Rondeletia loricata,Common Redmouth Whalefish,459281,42.839,-62.37,Fishes
Hydrolagus affinis,Small-eyed Rabbitfish,103026,49.5,-119.6,Fishes
Harriotta raleighana,Bigspine Spookfish,102323,49.5,-119.6,Fishes
Rhinochimaera atlantica,Knife-nosed Chimaera,111688,42.839,-62.37,Fishes
Alosa mediocris,Hickory Shad,49224,45.047406,-67.024532,Fishes
Etrumeus sadina,Red-eye Round Herring,613918,49.5,-119.6,Fishes
Anchoa hepsetus,Striped Anchovy,146829,49.5,-119.6,Fishes
Anchoa mitchilli,Bay Anchovy,94070,46.09167,-61.535,Fishes
Engraulis eurystole,Silver Anchovy,179606,41.4475,-66.9997,Fishes
Moxostoma hubbsi,Copper Redhorse,106213,49.5,-119.6,Fishes
Erimystax x-punctatus,Gravel Chub,219464,49.5,-119.6,Fishes
Hybognathus argyritis,Western Silvery Minnow,102977,49.5,-119.6,Fishes
Hybognathus placitus,Plains Minnow,102981,49.5,-119.6,Fishes
Notropis percobromus,Carmine Shiner,107246,49.5,-119.6,Fishes
Opsopoeodus emiliae,Pugnose Minnow,107741,49.5,-119.6,Fishes
Elops saurus,Ladyfish,51405,41.818611,-65.5589,Fishes
Bregmaceros atlanticus,Antenna Codlet,96040,43.808333,-58.9375,Fishes
Bregmaceros mcclellandi,Unicorn Codlet,194839,49.5,-119.6,Fishes
Micromesistius poutassou,Blue Whiting,120702,51.726667,-53.743611,Fishes
Trisopterus esmarkii,Norway Pout,320793,60.099998,-56.9167,Fishes
Brosme brosme,Cusk,215458,43.164011,-66.012008,Fishes
Gaidropsarus argentatus,Silver Rockling,459172,56.540278,-58.451389,Fishes
Gaidropsarus ensis,Arctic Threebeard Rockling,459173,62.133889,-60.535278,Fishes
Molva dypterygia,Blue Ling,120684,49.1215,-67.9348,Fishes
Molva molva,European Ling,125291,49.5,-119.6,Fishes
Cetonurus globiceps,Globehead Whiptail,459254,42.128889,-64.9161,Fishes
Coelorinchus caelorhincus,Saddled Grenadier,120709,43.557833,-59.862,Fishes
Coelorinchus occa,Swordsnout Grenadier,98256,43.01,-61.3236,Fishes
Coryphaenoides acrolepis,Roughscale Grenadier,217626,53.00795,-132.896833,Fishes
Coryphaenoides alateralis,,459209,49.5,-119.6,Fishes
Coryphaenoides brevibarbis,Shortbeard grenadier,459181,49.5,-119.6,Fishes
Coryphaenoides carapinus,Carapine Grenadier,459210,42.3745,-64.008167,Fishes
Coryphaenoides cinereus,Popeye,217627,53.00795,-132.896833,Fishes
Coryphaenoides filifer,Filamented rattail,217628,49.5,-119.6,Fishes
Coryphaenoides guentheri,Günther's Grenadier,459182,62.881,-58.615,Fishes
Coryphaenoides mediterraneus,Mediterranean grenadier,459212,49.5,-119.6,Fishes
Coryphaenoides rupestris,Roundnose Grenadier,217631,49.5,-119.6,Fishes
Coryphaenoides yaquinae,,217632,49.5,-119.6,Fishes
Gadomus arcuatus,Doublethread Grenadier,459251,49.5,-119.6,Fishes
Macrourus berglax,Onion eye,224368,61.973611,-60.571389,Fishes
Malacocephalus occidentalis,Western Softhead Grenadier,105109,49.975634,-65.77931,Fishes
Nezumia aequalis,Common Atlantic Grenadier,120607,43.557833,-59.862,Fishes
Nezumia bairdii,Marlin-spike,225943,49.5,-119.6,Fishes
Nezumia longebarbata,Bluntnose Grenadier,459250,43.843611,-58.3392,Fishes
Nezumia sclerorhynchus,Bluntsnout Grenadier,120674,44.055278,-59.0522,Fishes
Nezumia stelgidolepis,California Grenadier,194841,49.5,-119.6,Fishes
Trachyrincus murrayi,Roughnose Grenadier,458047,62.176389,-60.466944,Fishes
Trachyrincus scabrus,Roughsnout Grenadier,120675,49.5,-119.6,Fishes
Melanonus zugmayeri,Arrowtail Cod,224591,49.5,-119.6,Fishes
Merluccius albidus,Offshore Hake,224885,49.5,-119.6,Fishes
Antimora microlepis,Pacific Flatnose,94219,53.13395,-132.731,Fishes
Antimora rostrata,Violet Cod,194855,49.5,-119.6,Fishes
Gadella imberbis,Beardless Codling,317107,49.5,-119.6,Fishes
Guttigadus latifrons,,459353,43.843613,-58.3392,Fishes
Halargyreus johnsonii,Slender Cod,220863,53.09865,-132.78435,Fishes
Laemonema barbatulum,Shortbeard Codling,317178,45.617708,-57.440637,Fishes
Laemonema goodebeanorum,,459357,49.5,-119.6,Fishes
Laemonema melanurum,,459358,47.659352,-60.126815,Fishes
Lepidion lepidion,Largeye Lepidion,104192,49.5,-119.6,Fishes
Physiculus fulvus,Metallic Codling,179483,41.685833,-65.8489,Fishes
Phycis chesteri,Longfin Hake,450418,49.5,-119.6,Fishes
Gadomus longifilis,,617081,49.5,-119.6,Fishes
